factor_id,factor_switch_score_pre40,factor_switch_score_pre20,mean_abs_Rdiff_pre40
f3457,103,39,3.8875
f5758,102,46,4.0
f4457,99,46,1.2625
f967,97,43,2.15
f6768,96,39,2.8
f6667,95,43,1.85
f3466,94,36,4.15
f5766,94,39,2.2
f6788,94,43,2.9
f4166,92,40,4.7
f3473,91,36,1.85
f4468,91,39,3.175
f6684,91,36,3.3625
f958,91,43,2.2875
f2773,90,40,4.65
f4144,90,38,1.5
f4184,90,36,3.825
f4188,90,35,1.925
f5866,90,40,3.3625
f6883,90,37,2.3375
f7388,90,37,4.6625
f2775,89,42,3.1
f3084,89,41,3.8
f4066,89,44,2.8875
f4484,89,41,3.1375
f3034,88,36,4.475
f4175,88,42,1.975
f6673,88,41,3.475
f6683,88,34,3.175
f6888,88,34,2.4625
f2784,87,36,4.2375
f3040,87,42,3.575
f3866,86,42,0.0
f3868,86,40,1.875
f4083,86,38,4.0
f4957,86,34,4.4875
f5883,86,34,4.5125
f5884,86,40,4.125
f673,86,36,2.2
f2738,85,43,1.825
f3088,85,39,3.575
f3484,85,36,1.675
f5787,85,37,2.95
f5868,85,34,3.1625
f627,85,36,1.3625
f971,85,37,2.45
f1657,84,40,3.325
f2730,84,38,3.4125
f3083,84,34,2.9875
f3441,84,32,1.475
f3458,84,36,2.775
f4173,84,36,2.6875
f5867,84,38,2.475
f4084,83,42,2.65
f623,83,35,4.125
f641,83,32,1.4875
f4168,82,31,2.8
f4483,82,34,1.6625
f5875,82,38,2.9625
f630,82,39,0.7625
f683,82,30,2.0
f1430,81,44,3.3875
f3488,81,32,3.9
f3844,81,42,3.95
f4068,81,39,2.475
f5888,81,38,3.55
f4058,80,40,4.1125
f684,80,36,2.0125
f6884,80,34,2.775
f984,80,41,2.1625
f1630,79,37,2.425
f4167,79,36,3.625
f666,79,31,3.0625
f668,79,32,3.2625
f6783,79,38,3.175
f69,79,32,2.525
f930,79,42,2.1
f950,79,36,5.7375
f4966,78,29,2.6125
f5765,78,32,3.0
f5776,78,33,1.3375
f675,78,37,1.8125
f866,78,30,4.0
f988,78,36,4.5
f1666,77,32,2.55
f1673,77,37,2.1125
f3449,77,27,3.45
f3884,77,45,1.4625
f341,76,24,2.3
f3841,76,36,4.425
f4088,76,35,3.3125
