seed,class_60,class_70,tail_60,tail_70,mean_switch_last20_60,mean_switch_last20_70,mean_residual2_last20_60,mean_residual2_last20_70,mean_margin_last20_60,mean_margin_last20_70,added_10pct_count,added_10pct_median_factor_switch_score_pre40,added_10pct_median_abs_Rdiff_pre40
0,converged,transient_then_oscillation,49,23,0.0,3102.0,0.0,0.0,0.0,1.0,244,31.0,3.1812500000000004
1,converged,converged,56,19,0.0,0.0,0.0,0.0,0.0,0.0,244,27.5,3.0
2,converged,converged,24,19,0.0,0.0,0.0,0.0,0.0,0.0,244,30.5,3.15
3,converged,converged,31,23,0.0,0.0,0.0,0.0,0.0,0.0,244,27.5,3.26875
4,converged,converged,42,13,0.0,0.0,0.0,0.0,0.0,0.0,244,27.5,2.9625000000000004
5,converged,transient_then_oscillation,17,14,0.0,1028.0,0.0,0.0,0.0,0.0,244,31.5,3.33125
6,converged,transient_then_oscillation,39,38,0.0,2354.0,0.0,0.0,0.0,1.0,244,32.5,3.175
7,converged,transient_then_oscillation,23,16,0.0,3029.0,0.0,0.0,0.0,1.5,244,28.0,3.1312499999999996
8,converged,converged,49,35,0.0,0.0,0.0,0.0,0.0,0.0,244,30.0,3.09375
9,converged,converged,17,19,0.0,0.0,0.0,0.0,0.0,0.0,244,28.0,3.44375
10,converged,converged,18,17,0.0,0.0,0.0,0.0,0.0,0.0,244,33.0,3.075
11,converged,converged,30,19,0.0,0.0,0.0,0.0,0.0,0.0,244,29.0,3.0
12,converged,transient_then_oscillation,21,9,0.0,2413.0,0.0,0.0,0.0,1.0,244,30.0,3.325
13,converged,converged,15,22,0.0,0.0,0.0,0.0,0.0,0.0,244,31.5,3.15
14,converged,transient_then_oscillation,17,26,0.0,3114.0,0.0,0.0,0.0,1.5,244,29.5,3.325
15,converged,transient_then_oscillation,27,20,0.0,3039.0,0.0,0.0,0.0,1.5,244,32.0,3.225
16,converged,transient_then_oscillation,15,12,0.0,1964.0,0.0,0.0,0.0,2.5,244,32.0,3.075
17,converged,transient_then_oscillation,24,10,0.0,1008.0,0.0,0.0,0.0,0.0,244,27.0,3.0
18,transient_then_oscillation,transient_then_oscillation,34,39,2245.0,2402.0,0.0,0.0,1.0,1.0,244,30.0,3.09375
19,converged,converged,24,17,0.0,0.0,0.0,0.0,0.0,0.0,244,27.0,2.93125
