algorithm,seed,final_cost,anytime_cost
DMS,0,100.260572,40.218159
DMS_split_at_1000,0,40.298748,40.218159
DMS_split_at_500,0,50.254195,40.218159
DMS_split_at_300,0,60.261739,60.230306
DMS_split_0.4_0.6,0,60.252609,50.23526
DMS_split_at_50,0,50.265397,50.265397
DMS_split_at_100,0,40.219475,40.218739
DMS_split_0.5,0,50.23526,50.23526
DMS,1,20.215795,20.21048
DMS_split_0.5,1,40.21984,40.21984
DMS_split_at_300,1,20.217411,20.21048
DMS_split_0.4_0.6,1,40.21984,40.21984
DMS_split_at_100,1,20.217411,20.217411
DMS_split_at_50,1,40.208999,40.201125
MS_split_0.5,0,1100.260158,190.211094
MS_split_MGM_200,0,120.210487,120.210487
MS_split_opt_200,0,90.21205,90.21205
DMS_split_at_500,1,20.214389,20.21048
DMS,2,230.207184,50.174503
DMS_split_at_1000,1,30.232291,20.21048
MS_split_0.5,1,590.182577,250.184415
MS_split_MGM_200,1,80.181806,80.181806
MS_split_opt_200,1,70.18432,70.18432
DMS_split_0.5,2,30.191881,30.191881
DMS_split_0.4_0.6,2,30.191881,30.191881
DMS_split_at_50,2,40.188584,40.18554
DMS_split_at_100,2,30.190979,30.190979
DMS_split_at_300,2,30.217445,30.210619
DMS_split_at_1000,2,30.230552,30.21928
DMS_split_at_500,2,40.2079,30.198239
Optimal,2,20.200476,20.200476
MS_split_0.5,2,750.199893,270.169121
MS_split_MGM_200,2,90.178511,90.178511
MS_split_opt_200,2,80.172089,80.172089
DMS,3,230.203498,40.203243
DMS_split_0.5,3,40.210675,40.210675
DMS_split_0.4_0.6,3,40.22936,40.210675
DMS_split_at_50,3,30.252688,30.252688
DMS_split_at_300,3,40.211613,40.211136
DMS_split_at_100,3,50.220787,50.220787
DMS_split_at_500,3,70.255619,40.248908
DMS_split_at_1000,3,40.236488,40.230182
DMS,4,330.238926,40.220097
MS_split_0.5,3,720.227263,420.116504
MS_split_MGM_200,3,100.170135,100.170135
MS_split_opt_200,3,90.177654,90.177654
DMS_split_0.5,4,40.222921,40.212393
DMS_split_0.4_0.6,4,40.220049,40.212393
DMS_split_at_50,4,60.221988,40.207446
DMS_split_at_100,4,40.23052,40.226997
DMS_split_at_300,4,40.258016,40.220097
DMS_split_at_1000,4,40.258016,40.220097
DMS_split_at_500,4,40.23052,40.220097
DMS,5,240.241146,50.199209
MS_split_0.5,4,660.255023,390.215443
MS_split_MGM_200,4,110.182985,110.182985
MS_split_opt_200,4,80.178624,80.178624
DMS_split_0.5,5,50.20524,50.20524
DMS_split_0.4_0.6,5,50.20524,50.20524
DMS_split_at_50,5,50.20524,50.20524
DMS_split_at_100,5,40.250346,40.249459
DMS_split_at_500,5,60.227741,40.219138
DMS_split_at_300,5,40.250346,40.249459
DMS_split_at_1000,5,40.250346,40.249459
DMS,6,140.244861,30.233876
MS_split_0.5,5,700.183451,270.177939
MS_split_MGM_200,5,130.195639,130.195639
MS_split_opt_200,5,110.21616,110.21616
Optimal,3,20.231554,20.231554
Optimal,0,,
DMS_split_0.5,6,50.224074,50.224074
DMS_split_0.4_0.6,6,50.224074,50.224074
DMS_split_at_50,6,50.228258,50.228258
DMS_split_at_100,6,40.246035,40.240484
DMS_split_at_300,6,40.265676,40.265676
Optimal,1,,
DMS_split_at_500,6,40.244865,40.232944
DMS_split_at_1000,6,40.255083,40.244255
DMS,7,200.215702,60.207226
Optimal,4,40.198803,40.198803
DMS_split_0.5,7,50.213864,50.213864
DMS_split_0.4_0.6,7,50.213864,50.213864
DMS_split_at_50,7,70.220771,40.215902
DMS_split_at_100,7,30.231746,30.231746
DMS_split_at_300,7,30.231746,30.231746
DMS_split_at_1000,7,30.232261,30.232261
DMS_split_at_500,7,40.244492,40.243402
DMS,8,0.194074,0.194074
DMS_split_0.5,8,0.211653,0.211653
DMS_split_0.4_0.6,8,0.211653,0.211653
DMS_split_at_50,8,10.195972,10.191024
MS_split_0.5,7,530.207911,340.185239
MS_split_MGM_200,7,120.160312,120.160312
MS_split_opt_200,7,90.169305,90.169305
DMS_split_at_300,8,0.194074,0.194074
DMS_split_at_100,8,0.202147,0.202147
DMS_split_at_500,8,0.194074,0.194074
DMS_split_at_1000,8,0.194074,0.194074
MS_split_0.5,8,280.198862,100.195258
MS_split_MGM_200,8,10.196827,10.196827
MS_split_opt_200,8,10.196042,10.196042
Optimal,8,0.194074,0.194074
