a,b,n,mean_a,mean_b,mean_diff,wilcoxon_p,holm_p,ci_low,ci_high,wins,ties,losses,d_z
DMS,MS,50,138.815,666.192,-527.377,1.77636e-15,3.55271e-14,-577.778,-479.175,50,0,0,-2.90885
DMS_split_0.5,DMS,50,34.4166,138.815,-104.398,2.02322e-10,3.64179e-09,-128.204,-80.7969,40,0,10,-1.20622
DMS_split_0.4_0.6,DMS_split_0.5,50,34.8183,34.4166,0.401681,0.213223,1,-0.999041,1.80287,3,39,8,0.0813762
DMS_split_0.95,DMS_split_0.5,50,42.433,34.4166,8.0164,0.896719,1,-2.18146,19.819,24,5,21,0.197421
DMS_split_pulse,DMS_split_0.5,50,27.2322,34.4166,-7.18443,0.000887938,0.0106553,-10.5862,-3.78762,28,9,13,-0.576705
DMS_split_pulse,DMS_split_0.95,50,27.2322,42.433,-15.2008,0.0177342,0.195076,-27.0005,-5.1989,25,12,13,-0.383852
DMS_split_at_1000,DMS_split_0.5,50,31.6257,34.4166,-2.7909,0.299712,1,-6.98968,1.80715,27,3,20,-0.178272
DMS_split_at_300,DMS_split_0.5,50,30.6212,34.4166,-3.7954,0.142462,1,-7.39669,-0.39518,27,2,21,-0.301162
DMS_split_at_100,DMS_split_0.5,50,30.8224,34.4166,-3.59428,0.171389,1,-7.59195,0.204644,31,1,18,-0.25739
Attentive,DMS_split_0.5,50,39.2383,34.4166,4.82163,0.312209,1,-4.38194,16.0166,26,4,20,0.13111
Attentive,DMS_split_at_1000,50,39.2383,31.6257,7.61254,0.9591,1,-1.58828,18.0274,25,2,23,0.213112
Attentive,DMS_split_0.95,50,39.2383,42.433,-3.19477,0.985036,1,-16.995,9.79645,22,8,20,-0.0665648
Attentive,DMS_split_pulse,50,39.2383,27.2322,12.0061,0.0385127,0.385127,2.81464,22.8006,14,8,28,0.332222
Attentive,Attentive_NoSplit,50,39.2383,136.412,-97.1742,3.48974e-10,5.93256e-09,-118.77,-75.3764,41,0,9,-1.22365
DMS,Attentive_NoSplit,50,138.815,136.412,2.40222,0.596731,1,-19.597,24.405,21,3,26,0.0294168
MS_split_MGM_200,MS_split_0.5,50,98.1893,668.609,-570.42,1.1101e-09,1.77615e-08,-634.221,-507.017,49,1,0,-2.46457
MS_split_opt_200,MS_split_MGM_200,50,83.1915,98.1893,-14.9979,1.64794e-08,2.30711e-07,-18.5979,-11.3991,42,8,0,-1.129
MS_split_MGM_200,MS_split_MGM_inverted_200,50,98.1893,235.609,-137.42,1.1101e-09,1.77615e-08,-153.019,-121.021,49,1,0,-2.34417
DMS_split_0.5,MS_split_opt_200,50,34.4166,83.1915,-48.7748,1.35358e-12,2.57181e-11,-59.1729,-38.9749,47,0,3,-1.299
DMS,MS_split_opt_200,50,138.815,83.1915,55.6232,2.82831e-05,0.00036768,32.032,78.2288,14,0,36,0.65019
