algorithm,n,n_settled,settle_median,settle_mean
MS_split_0.5,50,1,18.0,18.0
MS_split_MGM_200,50,1,18.0,18.0
MS_split_opt_200,50,1,18.0,18.0
MS_split_MGM_inverted_200,50,1,18.0,18.0
Attentive,50,30,110.0,311.4
DMS_split_0.4_0.6,50,36,122.0,176.1
DMS_split_0.5,50,40,129.0,206.1
DMS_split_at_100,50,43,174.0,242.8
DMS_split_at_50,50,39,194.0,268.2
DMS_split_0.95,50,27,212.0,351.3
DMS_split_pulse,50,43,267.0,311.3
Attentive_NoSplit,50,6,345.5,393.8
DMS,50,8,379.0,448.6
DMS_split_at_300,50,40,390.5,423.7
DMS_split_at_500,50,34,559.0,556.6
DMS_split_at_1000,50,39,1064.0,981.0
MS,50,0,,
