metric,algorithm_a,algorithm_b,n,mean_a,mean_b,mean_diff,t_stat,t_pvalue,wilcoxon_pvalue
final_cost,DMS,DMS_split_at_1000,50,138.815,31.6257,107.189,9.20796,2.89456e-12,2.04804e-08
final_cost,DMS,DMS_split_at_500,50,138.815,33.0241,105.791,9.38595,1.58027e-12,1.07535e-08
final_cost,DMS,DMS_split_at_300,50,138.815,30.6212,108.193,9.29501,2.15202e-12,7.25683e-09
final_cost,DMS,DMS_split_0.4_0.6,50,138.815,34.8183,103.996,8.5062,3.24848e-11,2.26017e-10
final_cost,DMS,DMS_split_at_50,50,138.815,35.6238,103.191,8.42791,4.26659e-11,5.31845e-10
final_cost,DMS,DMS_split_at_100,50,138.815,30.8224,107.992,9.44939,1.27471e-12,6.83424e-09
final_cost,DMS,DMS_split_0.5,50,138.815,34.4166,104.398,8.52925,2.99819e-11,2.02322e-10
final_cost,DMS,MS_split_0.5,50,138.815,668.609,-529.794,-15.8489,6.38741e-21,1.77636e-15
final_cost,DMS,MS_split_MGM_200,50,138.815,98.1893,40.6253,3.41423,0.00129263,0.0013801
final_cost,DMS,MS_split_opt_200,50,138.815,83.1915,55.6232,4.59754,3.02811e-05,2.82831e-05
final_cost,DMS,Optimal,21,117.349,11.6376,105.711,5.38714,2.84141e-05,0.000437777
final_cost,DMS,Attentive,50,138.815,39.2383,99.5764,8.07254,1.48033e-10,2.61385e-08
final_cost,DMS,MS,50,138.815,666.192,-527.377,-20.5687,9.4204e-26,1.77636e-15
final_cost,DMS,Attentive_NoSplit,50,138.815,136.412,2.40222,0.208009,0.836084,0.596731
final_cost,DMS,MS_split_MGM_inverted_200,50,138.815,235.609,-96.7942,-6.61572,2.61367e-08,2.56333e-09
final_cost,DMS_split_at_1000,DMS_split_at_500,50,31.6257,33.0241,-1.39841,-0.597911,0.552653,0.721575
final_cost,DMS_split_at_1000,DMS_split_at_300,50,31.6257,30.6212,1.0045,0.522528,0.603657,0.171592
final_cost,DMS_split_at_1000,DMS_split_0.4_0.6,50,31.6257,34.8183,-3.19259,-1.41396,0.163696,0.196696
final_cost,DMS_split_at_1000,DMS_split_at_50,50,31.6257,35.6238,-3.99806,-1.52675,0.133253,0.174988
final_cost,DMS_split_at_1000,DMS_split_at_100,50,31.6257,30.8224,0.803374,0.523785,0.602789,0.887795
final_cost,DMS_split_at_1000,DMS_split_0.5,50,31.6257,34.4166,-2.7909,-1.26057,0.213433,0.299712
final_cost,DMS_split_at_1000,MS_split_0.5,50,31.6257,668.609,-636.983,-17.9642,3.34023e-23,1.77636e-15
final_cost,DMS_split_at_1000,MS_split_MGM_200,50,31.6257,98.1893,-66.5636,-11.5434,1.38995e-15,1.25681e-09
final_cost,DMS_split_at_1000,MS_split_opt_200,50,31.6257,83.1915,-51.5657,-9.99377,2.05522e-13,4.52038e-09
final_cost,DMS_split_at_1000,Optimal,21,19.7426,11.6376,8.10495,4.25678,0.000385939,0.000437777
final_cost,DMS_split_at_1000,Attentive,50,31.6257,39.2383,-7.61254,-1.50693,0.138249,0.9591
final_cost,DMS_split_at_1000,MS,50,31.6257,666.192,-634.566,-28.1868,6.13537e-32,1.77636e-15
final_cost,DMS_split_at_1000,Attentive_NoSplit,50,31.6257,136.412,-104.787,-9.95527,2.33573e-13,2.91009e-09
final_cost,DMS_split_at_1000,MS_split_MGM_inverted_200,50,31.6257,235.609,-203.983,-16.2395,2.33637e-21,1.77636e-15
final_cost,DMS_split_at_500,DMS_split_at_300,50,33.0241,30.6212,2.4029,1.25967,0.213756,0.126315
final_cost,DMS_split_at_500,DMS_split_0.4_0.6,50,33.0241,34.8183,-1.79418,-0.919246,0.36247,0.544277
final_cost,DMS_split_at_500,DMS_split_at_50,50,33.0241,35.6238,-2.59965,-1.07406,0.288059,0.0970938
final_cost,DMS_split_at_500,DMS_split_at_100,50,33.0241,30.8224,2.20178,1.19908,0.236264,0.513414
final_cost,DMS_split_at_500,DMS_split_0.5,50,33.0241,34.4166,-1.3925,-0.657063,0.514215,0.764848
final_cost,DMS_split_at_500,MS_split_0.5,50,33.0241,668.609,-635.585,-18.0245,2.89525e-23,1.77636e-15
final_cost,DMS_split_at_500,MS_split_MGM_200,50,33.0241,98.1893,-65.1652,-11.762,7.04113e-16,1.77636e-15
final_cost,DMS_split_at_500,MS_split_opt_200,50,33.0241,83.1915,-50.1673,-10.1321,1.29999e-13,1.77636e-15
final_cost,DMS_split_at_500,Optimal,21,19.2657,11.6376,7.62808,3.07675,0.0059502,0.000293053
final_cost,DMS_split_at_500,Attentive,50,33.0241,39.2383,-6.21413,-1.27077,0.209809,0.605141
final_cost,DMS_split_at_500,MS,50,33.0241,666.192,-633.168,-28.5463,3.41473e-32,1.77636e-15
final_cost,DMS_split_at_500,Attentive_NoSplit,50,33.0241,136.412,-103.388,-9.97318,2.20069e-13,5.23225e-09
final_cost,DMS_split_at_500,MS_split_MGM_inverted_200,50,33.0241,235.609,-202.585,-16.7325,6.72045e-22,1.77636e-15
final_cost,DMS_split_at_300,DMS_split_0.4_0.6,50,30.6212,34.8183,-4.19708,-2.4447,0.0181405,0.0466163
final_cost,DMS_split_at_300,DMS_split_at_50,50,30.6212,35.6238,-5.00256,-2.25602,0.0285667,0.0078555
final_cost,DMS_split_at_300,DMS_split_at_100,50,30.6212,30.8224,-0.201123,-0.121609,0.903706,0.684471
final_cost,DMS_split_at_300,DMS_split_0.5,50,30.6212,34.4166,-3.7954,-2.12953,0.038259,0.142462
