algorithm,final_cost_mean,final_cost_std,n,anytime_cost_mean,anytime_cost_std
Optimal,11.6376,10.1418,21,11.6376,10.1418
DMS_split_at_300,30.6212,19.6921,50,29.2171,18.7656
DMS_split_at_100,30.8224,18.7884,50,29.8177,17.8437
DMS_split_at_1000,31.6257,21.2918,50,28.6147,18.2268
DMS_split_at_500,33.0241,24.3380,50,29.0158,18.5936
DMS_split_0.5,34.4166,18.1959,50,32.6136,17.9096
DMS_split_0.4_0.6,34.8183,19.1943,50,32.6136,17.9095
DMS_split_at_50,35.6238,21.0189,50,32.6200,16.6091
Attentive,39.2383,44.3763,50,24.2275,16.6626
MS_split_opt_200,83.1915,44.7717,50,83.1915,44.7717
MS_split_MGM_200,98.1893,49.8099,50,98.1893,49.8099
Attentive_NoSplit,136.4125,85.2843,50,33.0096,22.7732
DMS,138.8147,93.6830,50,33.2058,21.8761
MS_split_MGM_inverted_200,235.6089,97.8199,50,216.8014,86.1098
MS,666.1919,164.2472,50,238.1779,78.2757
MS_split_0.5,668.6091,264.7158,50,278.9895,107.6558
