algorithm,seed,final_cost,anytime_cost
DMS,0,25.000009,10.000008
DMS_split_at_1000,0,11.000010,10.000009
DMS_split_at_500,0,10.000009,10.000009
DMS_split_at_300,0,14.000009,10.000009
DMS_split_at_100,0,10.000009,10.000009
DMS_split_0.5,0,12.000009,10.000010
DMS_split_at_50,0,14.000009,10.000009
DMS_split_0.4_0.6,0,14.000010,10.000010
MS_split_0.5,0,83.000004,43.000005
MS_split_MGM_200,0,21.000004,21.000004
MS_split_opt_200,0,21.000004,21.000004
DMS,1,6.000009,5.000008
DMS_split_0.5,1,5.000008,5.000008
DMS_split_at_300,1,5.000008,5.000008
DMS_split_0.4_0.6,1,5.000009,5.000008
DMS_split_at_100,1,5.000008,5.000008
DMS_split_at_50,1,5.000008,5.000008
DMS_split_at_1000,1,7.000009,5.000008
DMS_split_at_500,1,5.000008,5.000008
DMS,2,7.000009,7.000008
MS_split_0.5,1,90.000003,45.000004
MS_split_MGM_200,1,21.000003,21.000003
MS_split_opt_200,1,21.000003,21.000003
DMS_split_0.4_0.6,2,9.000008,9.000008
DMS_split_0.5,2,9.000008,9.000008
DMS_split_at_50,2,7.000008,7.000008
DMS_split_at_100,2,9.000008,9.000008
DMS_split_at_300,2,7.000007,7.000007
DMS_split_at_500,2,9.000008,9.000008
DMS,3,36.000007,12.000006
DMS_split_at_1000,2,7.000007,7.000007
MS_split_0.5,2,87.000002,38.000002
MS_split_MGM_200,2,25.000002,25.000002
MS_split_opt_200,2,25.000002,25.000002
DMS_split_0.5,3,10.000007,10.000007
DMS_split_0.4_0.6,3,13.000009,10.000009
DMS_split_at_100,3,9.000008,9.000008
DMS_split_at_50,3,10.000008,10.000008
DMS_split_at_300,3,11.000007,11.000007
DMS,4,10.000009,8.000009
DMS_split_at_500,3,9.000008,9.000008
DMS_split_at_1000,3,11.000007,10.000007
MS_split_0.5,3,79.000005,39.000008
MS_split_MGM_200,3,17.000004,17.000004
MS_split_opt_200,3,17.000004,17.000004
DMS_split_0.5,4,8.000010,8.000009
DMS_split_0.4_0.6,4,9.000009,8.000008
DMS_split_at_50,4,8.000010,8.000007
DMS_split_at_100,4,8.000010,8.000007
DMS_split_at_1000,4,8.000010,8.000007
DMS_split_at_500,4,8.000010,8.000009
DMS_split_at_300,4,8.000010,8.000007
MS_split_0.5,4,75.000007,40.000003
MS_split_MGM_200,4,18.000005,18.000005
MS_split_opt_200,4,17.000005,17.000005
DMS,5,25.000008,8.000006
DMS_split_0.5,5,8.000006,8.000006
DMS_split_0.4_0.6,5,10.000008,8.000006
DMS_split_at_50,5,7.000007,7.000007
DMS_split_at_300,5,7.000007,7.000007
DMS_split_at_100,5,7.000007,7.000007
DMS_split_at_500,5,7.000007,7.000007
DMS_split_at_1000,5,9.000007,8.000006
MS_split_0.5,5,90.000003,38.000002
MS_split_MGM_200,5,21.000002,21.000002
MS_split_opt_200,5,21.000002,21.000002
DMS,6,32.000006,8.000005
DMS_split_0.5,6,8.000005,8.000005
DMS_split_0.4_0.6,6,9.000006,8.000005
DMS_split_at_50,6,8.000005,8.000005
DMS_split_at_100,6,8.000007,8.000007
DMS_split_at_300,6,9.000009,9.000009
DMS_split_at_500,6,8.000007,8.000007
DMS_split_at_1000,6,8.000005,8.000005
MS_split_0.5,6,71.000006,44.000004
MS_split_MGM_200,6,20.000004,20.000004
MS_split_opt_200,6,18.000005,18.000005
DMS,7,23.000008,10.000007
DMS_split_0.5,7,9.000008,9.000008
DMS_split_0.4_0.6,7,12.000009,9.000008
DMS_split_at_50,7,8.000008,8.000008
DMS_split_at_100,7,10.000008,10.000008
DMS_split_at_300,7,10.000008,10.000008
DMS_split_at_500,7,9.000007,9.000007
DMS_split_at_1000,7,10.000008,10.000008
MS_split_0.5,7,90.000003,52.000005
MS_split_MGM_200,7,29.000002,29.000002
MS_split_opt_200,7,25.000003,25.000003
Optimal,0,nan,nan
DMS,8,7.000007,7.000007
Optimal,1,nan,nan
DMS_split_0.5,8,8.000006,8.000006
DMS_split_0.4_0.6,8,13.000009,8.000007
Optimal,2,nan,nan
