a,b,n,mean_a,mean_b,mean_diff,wilcoxon_p,holm_p,ci_low,ci_high,wins,ties,losses,d_z
DMS,MS,50,20.7,87.7689,-67.0689,1.77636e-15,3.55271e-14,-70.0298,-63.7897,50,0,0,-5.82941
DMS_split_0.5,DMS,50,8.10001,20.7,-12.6,1.87462e-09,2.99939e-08,-14.88,-10.3,46,1,3,-1.51217
DMS_split_0.4_0.6,DMS_split_0.5,50,8.94001,8.10001,0.840001,1.54739e-05,0.000170213,0.420001,1.32,5,13,32,0.506596
DMS_split_0.95,DMS_split_0.5,50,13.1584,8.10001,5.05842,6.7253e-06,8.07036e-05,3.0412,7.2164,11,0,39,0.659726
DMS_split_pulse,DMS_split_0.5,50,8.13734,8.10001,0.0373312,0.00808562,0.0565994,-0.203794,0.279387,9,0,41,0.0412904
DMS_split_pulse,DMS_split_0.95,50,8.13734,13.1584,-5.02109,1.91538e-05,0.000191538,-7.22281,-3.00291,30,7,13,-0.647626
DMS_split_at_1000,DMS_split_0.5,50,8.04001,8.10001,-0.0599997,0.755034,1,-0.34,0.24,19,15,16,-0.0567254
DMS_split_at_300,DMS_split_0.5,50,8.06001,8.10001,-0.0399998,0.919051,1,-0.3,0.22,17,15,18,-0.0432459
DMS_split_at_100,DMS_split_0.5,50,7.82001,8.10001,-0.28,0.031148,0.157002,-0.539999,-0.0199998,23,16,11,-0.309594
Attentive,DMS_split_0.5,50,27.22,8.10001,19.12,1.10852e-07,1.44108e-06,12.62,26.3005,8,3,39,0.755648
Attentive,DMS_split_at_1000,50,27.22,8.04001,19.18,7.24998e-08,1.015e-06,12.58,26.4605,6,3,41,0.755925
Attentive,DMS_split_0.95,50,27.22,13.1584,14.0616,0.000469247,0.00375398,7.70344,21.1433,20,0,30,0.575235
Attentive,DMS_split_pulse,50,27.22,8.13734,19.0827,3.62327e-08,5.4349e-07,12.5251,26.3392,14,0,36,0.752465
Attentive,Attentive_NoSplit,50,27.22,23.9952,3.22478,0.404258,1,-3.696,10.7806,32,0,18,0.120113
DMS,Attentive_NoSplit,50,20.7,23.9952,-3.29522,0.026167,0.157002,-6.37549,-0.233614,33,0,17,-0.291822
MS_split_MGM_200,MS_split_0.5,50,20.98,81.8,-60.82,7.52963e-10,1.35533e-08,-63.74,-57.4195,50,0,0,-5.26876
MS_split_opt_200,MS_split_MGM_200,50,20.14,20.98,-0.84,2.58499e-05,0.000232649,-1.14,-0.56,23,27,0,-0.780745
MS_split_MGM_200,MS_split_MGM_inverted_200,50,20.98,25.6578,-4.67775,5.45342e-13,1.03615e-11,-6.43826,-3.07337,48,0,2,-0.753676
DMS_split_0.5,MS_split_opt_200,50,8.10001,20.14,-12.04,7.53986e-10,1.35533e-08,-13.16,-10.8,50,0,0,-2.81572
DMS,MS_split_opt_200,50,20.7,20.14,0.560004,0.578842,1,-1.94,3.1,21,0,29,0.0606441
