algorithm,n,n_settled,settle_median,settle_mean
MS_split_0.5,50,6,7.0,185.8
DMS_split_0.5,50,44,153.5,189.7
DMS_split_at_50,50,47,157.0,220.5
DMS_split_0.95,50,15,171.0,258.3
DMS_split_at_100,50,47,173.0,239.3
DMS_split_0.4_0.6,50,8,185.0,211.2
DMS_split_pulse,50,43,303.0,314.1
DMS_split_at_300,50,47,388.0,425.1
Attentive_NoSplit,50,6,446.5,762.8
DMS_split_at_500,50,46,573.5,636.5
DMS_split_at_1000,50,45,1082.0,1117.5
Attentive,50,14,1114.0,1187.9
DMS,50,2,1385.5,1385.5
MS_split_MGM_200,50,0,,
MS_split_opt_200,50,0,,
MS,50,0,,
MS_split_MGM_inverted_200,50,0,,
