algorithm,final_cost_mean,final_cost_std,n,anytime_cost_mean,anytime_cost_std
DMS_split_at_100,7.8200,1.6622,50,7.7000,1.3132
DMS_split_at_50,7.9800,1.6224,50,7.7600,1.2867
DMS_split_at_500,8.0000,1.5518,50,7.8400,1.3303
DMS_split_at_1000,8.0400,1.5774,50,7.7600,1.3786
DMS_split_at_300,8.0600,1.7660,50,7.8600,1.3852
DMS_split_0.5,8.1000,1.5682,50,7.9000,1.3132
DMS_split_0.4_0.6,8.9400,2.3940,50,7.8600,1.2938
MS_split_opt_200,20.1400,3.8862,50,20.1400,3.8862
DMS,20.7000,8.7976,50,8.9000,1.9923
MS_split_MGM_200,20.9800,4.1820,50,20.9800,4.1820
Attentive_NoSplit,23.9952,11.4201,50,8.8334,2.2325
Attentive,27.2200,25.4328,50,9.9000,7.0833
MS_split_0.5,81.8000,14.6886,50,45.3600,8.1485
MS,87.7689,7.3710,50,41.8650,6.9461
Optimal,,,0,,
