algorithm,seed,final_cost,anytime_cost
Attentive,2,98848.000023,98848.000023
Attentive,1,97854.000025,97854.000025
Attentive,3,100844.000022,100731.000023
Attentive,0,98266.000023,98089.000027
Attentive,6,98201.000026,98201.000026
Attentive,4,94808.000028,94806.000026
Attentive,7,102423.000025,102423.000025
Attentive,5,100564.000025,100557.000026
Attentive,9,99637.000024,99637.000024
Attentive,8,100281.000024,100281.000024
Attentive,10,98132.00002,98068.000026
Attentive,12,97528.000028,97528.000028
Attentive,11,98485.000024,98482.000026
Attentive,13,102470.000024,102470.000024
Attentive,14,102676.000026,102492.000024
Attentive,15,96892.000026,96892.000026
Attentive,16,99546.000023,99546.000023
Attentive,17,102393.000024,102267.000024
Attentive,18,98698.000025,98698.000025
Attentive,20,97609.000022,97500.000024
Attentive,21,97600.000025,97600.000025
Attentive,19,105969.000026,105969.000026
Attentive,22,99688.000022,99493.000022
Attentive,23,100446.000027,99991.000027
Attentive,24,98193.000025,98141.000024
Attentive,25,101531.000026,101425.000025
Attentive,27,94766.000025,94336.000027
Attentive,28,100115.000026,99968.000028
Attentive,26,102506.000024,102232.000023
Attentive,29,98628.000029,98628.000029
Attentive,30,97455.000028,97455.000028
Attentive,31,97597.000026,97597.000026
Attentive,32,98856.000025,98856.000025
Attentive,33,98164.000024,98164.000024
Attentive,34,94965.000022,94594.000026
Attentive,36,97390.000023,97331.000024
Attentive,35,101536.000026,101536.000026
Attentive,37,99954.000024,99954.000024
Attentive,38,95887.000024,95705.000027
Attentive,39,100721.000024,100718.000025
Attentive,41,96272.000023,96272.000023
Attentive,42,96874.000026,96874.000026
Attentive,43,101730.000025,101459.000023
Attentive,44,99507.00002,99507.00002
Attentive,40,104012.000021,103616.000025
Attentive,45,97424.000026,97424.000026
Attentive,47,98494.000024,98494.000024
Attentive,46,98578.000023,98451.000023
Attentive,48,97558.000026,97437.000026
Attentive,49,102613.000026,102613.000026
Attentive_NoSplit,4,94854.280501,94854.280501
Attentive_NoSplit,3,100550.252872,100550.252872
Attentive_NoSplit,5,100481.2401,100481.2401
Attentive_NoSplit,0,97938.26109,97938.26109
Attentive_NoSplit,1,97632.225847,97632.225847
Attentive_NoSplit,2,98570.223488,98570.223488
