a,b,n,mean_a,mean_b,mean_diff,wilcoxon_p,holm_p,ci_low,ci_high,wins,ties,losses,d_z
DMS,MS,50,99557.3,107936,-8378.4,1.77636e-15,3.55271e-14,-8838.78,-7850.51,50,0,0,-4.66303
DMS_split_0.5,DMS,50,99758.5,99557.3,201.154,1.29651e-05,0.000129651,-154.911,486.816,7,0,43,0.168762
DMS_split_0.4_0.6,DMS_split_0.5,50,99541.7,99758.5,-216.821,8.63048e-05,0.000604134,-310.725,-122.718,39,0,11,-0.636066
DMS_split_0.95,DMS_split_0.5,50,99324.4,99758.5,-434.1,1.95399e-13,3.32179e-12,-518.864,-353.672,48,0,2,-1.46237
DMS_split_pulse,DMS_split_0.5,50,99409.5,99758.5,-348.956,1.37178e-07,1.92049e-06,-433.436,-266.238,38,10,2,-1.14593
DMS_split_pulse,DMS_split_0.95,50,99409.5,99324.4,85.1446,0.0275718,0.110287,15.2397,154.346,18,1,31,0.334805
DMS_split_at_1000,DMS_split_0.5,50,99445.2,99758.5,-313.333,4.02859e-06,4.8343e-05,-419.999,-202.255,39,0,11,-0.774993
DMS_split_at_300,DMS_split_0.5,50,99461.3,99758.5,-297.2,6.20632e-05,0.000496505,-422.128,-168.282,40,0,10,-0.640415
DMS_split_at_100,DMS_split_0.5,50,99487,99758.5,-271.453,2.97473e-05,0.000267726,-380.301,-157.901,39,0,11,-0.664427
Attentive,DMS_split_0.5,50,99223.7,99758.5,-534.804,3.00204e-13,4.80327e-12,-627.404,-443.962,46,0,4,-1.61618
Attentive,DMS_split_at_1000,50,99223.7,99445.2,-221.471,0.000415324,0.00249194,-326.055,-117.827,35,0,15,-0.584655
Attentive,DMS_split_0.95,50,99223.7,99324.4,-100.704,0.00996428,0.0498214,-165.664,-39.747,32,0,18,-0.433474
Attentive,DMS_split_pulse,50,99223.7,99409.5,-185.848,4.78853e-06,5.26739e-05,-252.647,-118.47,40,0,10,-0.754993
Attentive,Attentive_NoSplit,50,99223.7,100310,-1086.11,0.803527,1,-1795.81,-453.158,28,0,22,-0.438816
DMS,Attentive_NoSplit,50,99557.3,100310,-752.461,0.67257,1,-1456.3,-108.554,18,7,25,-0.307091
MS_split_MGM_200,MS_split_0.5,50,100420,107196,-6776.7,1.77636e-15,3.55271e-14,-7252.12,-6286.35,50,0,0,-3.81691
MS_split_opt_200,MS_split_MGM_200,50,100419,100420,-0.480058,0.317311,0.951932,-1.44017,0,1,49,0,-0.141421
MS_split_MGM_200,MS_split_MGM_inverted_200,50,100420,103191,-2771,1.77636e-15,3.55271e-14,-2999.87,-2543.8,50,0,0,-3.32347
DMS_split_0.5,MS_split_opt_200,50,99758.5,100419,-660.726,2.52268e-10,3.78401e-09,-824.549,-495.206,44,0,6,-1.1144
DMS,MS_split_opt_200,50,99557.3,100419,-861.88,1.74968e-06,2.27458e-05,-1202.63,-442.392,46,0,4,-0.626801
