algorithm,n,n_settled,settle_median,settle_mean
DMS_0.5_split_0.5,50,47,18.0,23.9
DMS_split_0.5,50,50,60.5,75.4
DMS_split_0.4_0.6,50,46,80.0,100.0
DMS_split_at_50,50,48,91.5,125.0
DMS_split_at_100,50,50,131.5,147.7
DMS_split_0.95,50,48,184.5,231.9
DMS_split_pulse,50,48,237.5,216.9
DMS_split_at_300,50,48,341.5,317.0
Attentive_NoSplit,50,37,467.0,580.7
DMS_split_at_500,50,49,512.0,457.3
DMS,50,40,719.5,767.2
DMS_split_at_1000,50,50,989.5,743.0
DMS_split_at_1500,50,50,1019.5,918.0
Attentive,50,48,1086.5,1119.0
MS,50,0,,
MS_split_0.5,50,0,,
MS_split_MGM_200,50,0,,
MS_split_MGM_inverted_200,50,0,,
MS_split_opt_200,50,0,,
