algorithm,final_cost_mean,final_cost_std,n,anytime_cost_mean,anytime_cost_std
Attentive,99223.6800,2402.1621,50,99144.2000,2399.0350
DMS_split_at_1500,99315.4914,2405.1621,50,99194.9899,2423.6489
DMS_split_0.95,99324.3838,2383.7089,50,99291.8439,2401.9980
DMS_split_pulse,99409.5284,2406.4675,50,99388.5683,2410.8227
DMS_split_at_500,99410.5677,2469.8733,50,99253.3489,2442.2789
DMS_split_at_1000,99445.1511,2404.5715,50,99208.6285,2434.7379
DMS_split_at_300,99461.2835,2485.1853,50,99355.9441,2464.6867
DMS_split_at_100,99487.0311,2418.7490,50,99467.8713,2405.4664
DMS_split_at_50,99517.2897,2447.1412,50,99501.9492,2433.3555
DMS_split_0.4_0.6,99541.6633,2396.0639,50,99535.3633,2399.2736
DMS,99557.3302,2417.9522,50,99178.7894,2422.1332
DMS_0.5_split_0.5,99659.1693,2437.0094,50,99658.3894,2437.2411
DMS_split_0.5,99758.4839,2463.4070,50,99758.4839,2463.4070
Attentive_NoSplit,100309.7910,3232.3757,50,99119.8293,2403.9366
MS_split_opt_200,100419.2101,2646.5790,50,100419.2101,2646.5790
MS_split_MGM_200,100419.6902,2646.2956,50,100419.6902,2646.2956
MS_split_MGM_inverted_200,103190.6945,2870.4753,50,103182.1341,2878.6392
MS_split_0.5,107196.3943,3621.4050,50,105454.7866,3207.5645
MS,107935.7321,2783.5433,50,103700.3499,2467.8634
