algorithm,seed,final_cost,anytime_cost
DMS,0,18104.235686,17718.228602
DMS_split_at_500,0,18030.279231,17889.266688
DMS_split_at_300,0,18053.260702,17945.245641
DMS_split_0.4_0.6,0,17853.251153,17853.251153
DMS_split_0.5,0,18097.258219,18097.258219
DMS_split_at_100,0,18038.255926,17993.266600
DMS_split_at_50,0,18038.257455,18009.259026
DMS_split_at_1000,0,17987.263798,17870.262288
DMS,1,14816.215725,14345.234410
MS_split_0.5,0,19096.244567,18943.242013
MS_split_MGM_200,0,17972.229981,17972.229981
MS_split_opt_200,0,17972.229981,17972.229981
DMS_split_0.5,1,14625.230864,14437.215947
DMS_split_at_50,1,14368.268144,14368.268144
DMS_split_0.4_0.6,1,14574.242908,14148.265481
DMS_split_at_100,1,14430.224442,14430.224442
DMS_split_at_300,1,14679.210324,14640.211410
DMS_split_at_500,1,14579.254001,14415.265817
DMS_split_at_1000,1,14436.273125,14345.234410
DMS,2,14030.253382,13652.242072
MS_split_0.5,1,16452.238395,15797.228007
MS_split_MGM_200,1,14337.208956,14337.208956
MS_split_opt_200,1,14302.218556,14302.218556
DMS_split_0.5,2,13859.246803,13764.239095
DMS_split_0.4_0.6,2,14157.247115,14017.243045
DMS_split_at_50,2,14289.249821,14202.245669
DMS_split_at_100,2,13901.235665,13652.242072
DMS_split_at_300,2,14111.257781,13652.242072
DMS_split_at_500,2,14030.253382,13652.242072
DMS_split_at_1000,2,14030.253382,13652.242072
DMS,3,15179.242390,15090.234188
MS_split_0.5,2,16109.201382,15389.242616
MS_split_MGM_200,2,13936.229613,13936.229613
MS_split_opt_200,2,13841.205897,13841.205897
DMS_split_0.5,3,15009.233959,15009.233959
DMS_split_0.4_0.6,3,15308.217496,15269.204530
DMS_split_at_50,3,15353.215796,15353.215796
DMS_split_at_300,3,15203.190633,15203.190633
DMS_split_at_100,3,15182.225892,15182.225892
DMS_split_at_500,3,15229.200365,15209.250874
DMS_split_at_1000,3,15179.242390,15105.235309
DMS,4,16156.262728,15629.272299
DMS_split_0.5,4,16272.248024,16167.243462
DMS_split_0.4_0.6,4,15681.272530,15681.272530
MS_split_0.5,3,17615.205622,17191.241266
MS_split_MGM_200,3,15183.221382,15183.221382
MS_split_opt_200,3,15183.221382,15183.221382
DMS_split_at_50,4,15754.253338,15741.257756
MS,1,16266.258959,14975.245012
MS,2,17057.236902,14362.237284
MS,3,17628.203487,15789.216548
MS,4,17842.256647,16412.271070
MS,5,19576.239270,17561.253600
MS,7,19683.240255,17033.295242
MS,6,18717.258109,16942.297267
MS,0,19433.259772,18437.251438
MS,8,15093.270738,13386.245085
MS,12,15199.245485,13588.233913
MS,13,17001.212466,15077.270714
MS,10,16813.259500,15779.236990
MS,11,17114.212745,15782.221450
MS,15,15992.244337,14601.276483
MS,14,17248.203738,16153.263598
MS,9,20901.249360,20254.257181
MS,17,15362.248159,14551.233626
MS,16,18729.219709,16509.242775
MS,19,15566.265207,14314.249523
MS,18,16253.237597,15123.223455
MS,21,16055.216314,13910.234655
MS,22,17430.242556,15760.264045
MS,20,16985.282369,16547.282545
MS,23,18955.277424,16819.278450
MS,24,16631.262554,15165.261242
MS,27,16343.269202,14582.263994
MS,25,17831.241121,16697.234858
MS,28,15504.220698,14612.232171
MS,26,19866.278601,18015.240919
MS,29,18944.254832,16344.237590
MS,31,16144.253465,14995.261703
MS,30,17558.260059,16910.283769
MS,34,14525.274556,13138.254957
MS,32,18363.230557,16862.241601
MS,33,16712.247778,15309.229470
MS,36,16975.265557,15257.261646
MS,35,19669.248839,18191.222953
MS,37,17498.251592,15967.227889
MS,38,18303.282267,16491.235601
MS,39,18967.247606,17192.257551
MS,41,15052.266640,13632.272070
MS,40,19100.229072,17734.226862
MS,42,16256.237330,15374.236954
MS,43,18308.210595,17205.222406
MS,45,19189.233556,17542.233409
MS,46,18176.236594,15849.224714
MS,44,20825.255418,19220.244540
MS,47,18305.252733,16465.258336
MS,48,16536.260352,14932.265916
MS,49,19453.262002,17841.288943
