a,b,n,mean_a,mean_b,mean_diff,wilcoxon_p,holm_p,ci_low,ci_high,wins,ties,losses,d_z
DMS,MS,50,15100.3,17204.9,-2104.64,2.53704e-09,4.3143e-08,-2410.18,-1793.13,46,2,2,-1.86592
DMS_split_0.5,DMS,50,14633.4,15100.3,-466.856,0.000573477,0.00573477,-662.73,-280.382,28,0,22,-0.670942
DMS_split_0.4_0.6,DMS_split_0.5,50,14600.6,14633.4,-32.8443,0.00579766,0.0355051,-55.0004,-11.7032,33,2,15,-0.420194
DMS_split_0.95,DMS_split_0.5,50,14522.6,14633.4,-110.801,4.8589e-09,7.77424e-08,-133.362,-88.4446,44,3,3,-1.34919
DMS_split_pulse,DMS_split_0.5,50,14540,14633.4,-93.4392,1.48617e-08,2.22925e-07,-113.521,-74.3584,42,7,1,-1.29118
DMS_split_pulse,DMS_split_0.95,50,14540,14522.6,17.3617,0.0411144,0.123343,4.72337,30.7438,14,14,22,0.359437
DMS_split_at_1000,DMS_split_0.5,50,14555,14633.4,-78.4452,5.21565e-07,6.78034e-06,-105.205,-51.983,39,0,11,-0.814842
DMS_split_at_300,DMS_split_0.5,50,14584.8,14633.4,-48.5994,0.00507215,0.0355051,-78.2374,-19.2777,33,0,17,-0.453871
DMS_split_at_100,DMS_split_0.5,50,14582.2,14633.4,-51.2618,0.000698391,0.00628552,-80.5549,-21.5009,37,0,13,-0.465984
Attentive,DMS_split_0.5,50,14519,14633.4,-114.42,2.39683e-09,4.3143e-08,-135.122,-93.3809,47,3,0,-1.49369
Attentive,DMS_split_at_1000,50,14519,14555,-35.9749,0.00674797,0.0355051,-60.5552,-12.7794,29,3,18,-0.410975
Attentive,DMS_split_0.95,50,14519,14522.6,-3.61912,0.190804,0.381608,-16.3407,10.1985,19,21,10,-0.0766886
Attentive,DMS_split_pulse,50,14519,14540,-20.9808,0.00384329,0.0307463,-37.7166,-4.8635,26,14,10,-0.344565
Attentive,Attentive_NoSplit,50,14519,15108.5,-589.458,0.000140383,0.00154421,-807.77,-387.581,28,4,18,-0.771589
DMS,Attentive_NoSplit,50,15100.3,15108.5,-8.18258,0.856042,0.856042,-256.804,236.804,17,11,22,-0.00911862
MS_split_MGM_200,MS_split_0.5,50,14800.2,17073.3,-2273.04,1.77636e-15,3.55271e-14,-2473.38,-2067.3,50,0,0,-3.04854
MS_split_opt_200,MS_split_MGM_200,50,14761.4,14800.2,-38.8575,7.73973e-08,1.08356e-06,-51.1971,-28.0396,38,12,0,-0.915762
MS_split_MGM_200,MS_split_MGM_inverted_200,50,14800.2,15370,-569.764,1.77636e-15,3.55271e-14,-662.587,-490.644,50,0,0,-1.797
DMS_split_0.5,MS_split_opt_200,50,14633.4,14761.4,-127.941,5.21565e-07,6.78034e-06,-195.803,-74.1039,39,0,11,-0.569966
DMS,MS_split_opt_200,50,15100.3,14761.4,338.914,0.028257,0.113028,147.105,539.797,24,0,26,0.474906
