algorithm,n,n_settled,settle_median,settle_mean
Attentive,50,46,30.5,53.4
MS,50,2,37.0,37.0
DMS_split_0.4_0.6,50,35,58.0,98.4
DMS_split_0.5,50,49,70.0,134.3
DMS_split_at_50,50,49,81.0,111.2
DMS_split_0.95,50,44,109.0,144.8
DMS_split_at_100,50,50,124.0,141.4
DMS_split_pulse,50,49,220.0,201.7
DMS_split_at_300,50,50,336.5,339.5
Attentive_NoSplit,50,21,406.0,542.7
DMS_split_at_500,50,50,536.0,499.2
DMS,50,20,606.0,726.6
DMS_split_at_1000,50,50,1023.0,904.6
MS_split_0.5,50,0,,
MS_split_MGM_200,50,0,,
MS_split_MGM_inverted_200,50,0,,
MS_split_opt_200,50,0,,
