metric,algorithm_a,algorithm_b,n,mean_a,mean_b,mean_diff,t_stat,t_pvalue,wilcoxon_pvalue
final_cost,MS,DMS,50,17611.5,15749.3,1862.12,19.8909,4.09576e-25,1.77636e-15
final_cost,MS,DMS_split_at_50,50,17611.5,15346.2,2265.24,28.6551,2.86341e-32,1.77636e-15
final_cost,MS,DMS_split_0.4_0.6,50,17611.5,15344.6,2266.82,27.8037,1.15419e-31,1.77636e-15
final_cost,MS,DMS_split_0.5,50,17611.5,15357.9,2253.6,26.5152,1.02411e-30,1.77636e-15
final_cost,MS,DMS_split_at_100,50,17611.5,15342.6,2268.88,29.1893,1.2166e-32,1.77636e-15
final_cost,MS,DMS_split_at_300,50,17611.5,15387.5,2223.99,26.8699,5.56443e-31,1.77636e-15
final_cost,MS,DMS_split_at_1000,50,17611.5,15330.3,2281.2,29.3121,1.00122e-32,1.77636e-15
final_cost,MS,DMS_split_at_500,50,17611.5,15371.1,2240.38,27.5089,1.88676e-31,1.77636e-15
final_cost,MS,MS_split_0.5,50,17611.5,17288.4,323.04,2.32261,0.0243967,0.0223779
final_cost,MS,MS_split_MGM_200,50,17611.5,15288.1,2323.42,24.7583,2.34354e-29,1.77636e-15
final_cost,MS,MS_split_opt_200,50,17611.5,15243.2,2368.24,25.5011,6.09856e-30,1.77636e-15
final_cost,MS,Attentive_NoSplit,50,17611.5,15108.5,2503,17.0372,3.15252e-22,1.24345e-14
final_cost,MS,Attentive,50,17611.5,14519,3092.46,38.5798,2.48252e-38,1.77636e-15
final_cost,MS,MS_split_MGM_inverted_200,50,17611.5,16090,1521.52,13.8895,1.29273e-18,9.76996e-14
final_cost,DMS,DMS_split_at_50,50,15749.3,15346.2,403.122,4.96086,8.84636e-06,5.49222e-05
final_cost,DMS,DMS_split_0.4_0.6,50,15749.3,15344.6,404.699,5.27681,2.97443e-06,1.68966e-05
final_cost,DMS,DMS_split_0.5,50,15749.3,15357.9,391.48,5.26265,3.12441e-06,7.1116e-06
final_cost,DMS,DMS_split_at_100,50,15749.3,15342.6,406.76,5.44669,1.64526e-06,7.02188e-06
final_cost,DMS,DMS_split_at_300,50,15749.3,15387.5,361.864,4.93732,9.58845e-06,4.4778e-05
final_cost,DMS,DMS_split_at_1000,50,15749.3,15330.3,419.077,5.91588,3.15343e-07,2.8093e-06
final_cost,DMS,DMS_split_at_500,50,15749.3,15371.1,378.258,5.1703,4.30292e-06,3.47428e-05
final_cost,DMS,MS_split_0.5,50,15749.3,17288.4,-1539.08,-11.9791,3.60439e-16,8.88178e-15
final_cost,DMS,MS_split_MGM_200,50,15749.3,15288.1,461.297,5.81055,4.57712e-07,1.36676e-06
final_cost,DMS,MS_split_opt_200,50,15749.3,15243.2,506.117,6.44767,4.75978e-08,9.74576e-08
final_cost,DMS,Attentive_NoSplit,50,15749.3,15108.5,640.878,4.84238,1.32534e-05,2.3069e-05
final_cost,DMS,Attentive,50,15749.3,14519,1230.34,16.2823,2.09465e-21,1.77636e-15
final_cost,DMS,MS_split_MGM_inverted_200,50,15749.3,16090,-340.604,-3.57305,0.000803686,0.0012357
final_cost,DMS_split_at_50,DMS_split_0.4_0.6,50,15346.2,15344.6,1.57622,0.0575748,0.954321,0.878334
final_cost,DMS_split_at_50,DMS_split_0.5,50,15346.2,15357.9,-11.6426,-0.373192,0.710615,0.694746
final_cost,DMS_split_at_50,DMS_split_at_100,50,15346.2,15342.6,3.63754,0.109846,0.91298,0.902045
final_cost,DMS_split_at_50,DMS_split_at_300,50,15346.2,15387.5,-41.2585,-1.15186,0.254969,0.24646
final_cost,DMS_split_at_50,DMS_split_at_1000,50,15346.2,15330.3,15.9544,0.526556,0.600878,0.65919
final_cost,DMS_split_at_50,DMS_split_at_500,50,15346.2,15371.1,-24.8649,-0.755393,0.453629,0.458649
final_cost,DMS_split_at_50,MS_split_0.5,50,15346.2,17288.4,-1942.2,-17.7284,5.86338e-23,1.77636e-15
final_cost,DMS_split_at_50,MS_split_MGM_200,50,15346.2,15288.1,58.1741,1.38455,0.172462,0.0125682
final_cost,DMS_split_at_50,MS_split_opt_200,50,15346.2,15243.2,102.994,2.48043,0.0166057,0.000382585
final_cost,DMS_split_at_50,Attentive_NoSplit,50,15346.2,15108.5,237.756,2.09494,0.0413682,0.0390155
final_cost,DMS_split_at_50,Attentive,50,15346.2,14519,827.214,25.9109,2.94386e-30,1.77636e-15
final_cost,DMS_split_at_50,MS_split_MGM_inverted_200,50,15346.2,16090,-743.726,-11.3504,2.5469e-15,1.77636e-15
final_cost,DMS_split_0.4_0.6,DMS_split_0.5,50,15344.6,15357.9,-13.2188,-0.481144,0.632556,0.882224
final_cost,DMS_split_0.4_0.6,DMS_split_at_100,50,15344.6,15342.6,2.06132,0.0631504,0.949904,0.840754
final_cost,DMS_split_0.4_0.6,DMS_split_at_300,50,15344.6,15387.5,-42.8347,-1.19855,0.236469,0.382904
final_cost,DMS_split_0.4_0.6,DMS_split_at_1000,50,15344.6,15330.3,14.3782,0.502668,0.617449,0.484303
final_cost,DMS_split_0.4_0.6,DMS_split_at_500,50,15344.6,15371.1,-26.4411,-0.854336,0.397077,0.472376
final_cost,DMS_split_0.4_0.6,MS_split_0.5,50,15344.6,17288.4,-1943.78,-18.4468,1.07379e-23,1.77636e-15
final_cost,DMS_split_0.4_0.6,MS_split_MGM_200,50,15344.6,15288.1,56.5978,1.65222,0.104884,0.00366325
final_cost,DMS_split_0.4_0.6,MS_split_opt_200,50,15344.6,15243.2,101.418,2.96063,0.00472155,3.12816e-05
final_cost,DMS_split_0.4_0.6,Attentive_NoSplit,50,15344.6,15108.5,236.179,2.19095,0.0332413,0.0275452
final_cost,DMS_split_0.4_0.6,Attentive,50,15344.6,14519,825.638,29.6219,6.14507e-33,1.77636e-15
final_cost,DMS_split_0.4_0.6,MS_split_MGM_inverted_200,50,15344.6,16090,-745.303,-12.4204,9.42036e-17,1.77636e-15
final_cost,DMS_split_0.5,DMS_split_at_100,50,15357.9,15342.6,15.2802,0.426171,0.67185,0.833278
final_cost,DMS_split_0.5,DMS_split_at_300,50,15357.9,15387.5,-29.6159,-0.800248,0.42743,0.454788
final_cost,DMS_split_0.5,DMS_split_at_1000,50,15357.9,15330.3,27.597,0.814795,0.419132,0.611851
final_cost,DMS_split_0.5,DMS_split_at_500,50,15357.9,15371.1,-13.2223,-0.391249,0.697309,0.546265
final_cost,DMS_split_0.5,MS_split_0.5,50,15357.9,17288.4,-1930.56,-17.9816,3.20478e-23,1.77636e-15
final_cost,DMS_split_0.5,MS_split_MGM_200,50,15357.9,15288.1,69.8167,1.63639,0.108167,0.0201206
final_cost,DMS_split_0.5,MS_split_opt_200,50,15357.9,15243.2,114.637,2.7745,0.00780269,0.000230875
final_cost,DMS_split_0.5,Attentive_NoSplit,50,15357.9,15108.5,249.398,2.13292,0.0379663,0.0380817
final_cost,DMS_split_0.5,Attentive,50,15357.9,14519,838.856,23.8978,1.16465e-28,1.77636e-15
final_cost,DMS_split_0.5,MS_split_MGM_inverted_200,50,15357.9,16090,-732.084,-11.392,2.2342e-15,1.77636e-15
final_cost,DMS_split_at_100,DMS_split_at_300,50,15342.6,15387.5,-44.896,-1.30359,0.198465,0.368863
final_cost,DMS_split_at_100,DMS_split_at_1000,50,15342.6,15330.3,12.3168,0.574569,0.568212,0.468761
final_cost,DMS_split_at_100,DMS_split_at_500,50,15342.6,15371.1,-28.5024,-0.933869,0.354951,0.466585
final_cost,DMS_split_at_100,MS_split_0.5,50,15342.6,17288.4,-1945.84,-18.082,2.52661e-23,1.77636e-15
final_cost,DMS_split_at_100,MS_split_MGM_200,50,15342.6,15288.1,54.5365,1.25466,0.215555,0.0620713
final_cost,DMS_split_at_100,MS_split_opt_200,50,15342.6,15243.2,99.3569,2.332,0.0238545,0.00243994
final_cost,DMS_split_at_100,Attentive_NoSplit,50,15342.6,15108.5,234.118,2.13607,0.0376954,0.0217943
final_cost,DMS_split_at_100,Attentive,50,15342.6,14519,823.576,28.9368,1.82011e-32,1.77636e-15
final_cost,DMS_split_at_100,MS_split_MGM_inverted_200,50,15342.6,16090,-747.364,-11.6792,9.10165e-16,5.32907e-15
final_cost,DMS_split_at_300,DMS_split_at_1000,50,15387.5,15330.3,57.2129,1.86919,0.0675793,0.0310149
final_cost,DMS_split_at_300,DMS_split_at_500,50,15387.5,15371.1,16.3936,0.508782,0.613189,0.560957
final_cost,DMS_split_at_300,MS_split_0.5,50,15387.5,17288.4,-1900.95,-17.6281,7.4626e-23,1.77636e-15
final_cost,DMS_split_at_300,MS_split_MGM_200,50,15387.5,15288.1,99.4326,2.48068,0.0165952,0.0043169
final_cost,DMS_split_at_300,MS_split_opt_200,50,15387.5,15243.2,144.253,3.73232,0.000493989,8.63048e-05
final_cost,DMS_split_at_300,Attentive_NoSplit,50,15387.5,15108.5,279.014,2.49135,0.0161607,0.0136869
final_cost,DMS_split_at_300,Attentive,50,15387.5,14519,868.472,25.2269,9.98367e-30,1.77636e-15
final_cost,DMS_split_at_300,MS_split_MGM_inverted_200,50,15387.5,16090,-702.468,-12.0262,3.12017e-16,3.55271e-15
final_cost,DMS_split_at_1000,DMS_split_at_500,50,15330.3,15371.1,-40.8193,-1.69944,0.095578,0.0726963
final_cost,DMS_split_at_1000,MS_split_0.5,50,15330.3,17288.4,-1958.16,-17.549,9.03208e-23,1.77636e-15
final_cost,DMS_split_at_1000,MS_split_MGM_200,50,15330.3,15288.1,42.2197,0.963151,0.340201,0.135498
final_cost,DMS_split_at_1000,MS_split_opt_200,50,15330.3,15243.2,87.04,2.05169,0.0455644,0.00354364
final_cost,DMS_split_at_1000,Attentive_NoSplit,50,15330.3,15108.5,221.801,2.08741,0.0420739,0.0390155
final_cost,DMS_split_at_1000,Attentive,50,15330.3,14519,811.259,28.5314,3.49838e-32,1.77636e-15
final_cost,DMS_split_at_1000,MS_split_MGM_inverted_200,50,15330.3,16090,-759.681,-11.2722,3.25939e-15,8.88178e-15
final_cost,DMS_split_at_500,MS_split_0.5,50,15371.1,17288.4,-1917.34,-17.9731,3.27051e-23,1.77636e-15
final_cost,DMS_split_at_500,MS_split_MGM_200,50,15371.1,15288.1,83.0389,1.85602,0.069469,0.0140785
final_cost,DMS_split_at_500,MS_split_opt_200,50,15371.1,15243.2,127.859,2.94229,0.00496508,0.000262479
final_cost,DMS_split_at_500,Attentive_NoSplit,50,15371.1,15108.5,262.62,2.41511,0.0195072,0.0195878
final_cost,DMS_split_at_500,Attentive,50,15371.1,14519,852.079,24.5147,3.67198e-29,1.77636e-15
final_cost,DMS_split_at_500,MS_split_MGM_inverted_200,50,15371.1,16090,-718.862,-11.04,6.81317e-15,3.55271e-15
final_cost,MS_split_0.5,MS_split_MGM_200,50,17288.4,15288.1,2000.38,20.591,8.98104e-26,1.77636e-15
final_cost,MS_split_0.5,MS_split_opt_200,50,17288.4,15243.2,2045.2,20.6398,8.09243e-26,1.77636e-15
final_cost,MS_split_0.5,Attentive_NoSplit,50,17288.4,15108.5,2179.96,14.3442,3.62078e-19,8.88178e-15
final_cost,MS_split_0.5,Attentive,50,17288.4,14519,2769.42,26.052,2.2962e-30,1.77636e-15
final_cost,MS_split_0.5,MS_split_MGM_inverted_200,50,17288.4,16090,1198.48,15.2772,2.87136e-20,3.55271e-15
final_cost,MS_split_MGM_200,MS_split_opt_200,50,15288.1,15243.2,44.8203,6.69258,1.98668e-08,2.47703e-07
final_cost,MS_split_MGM_200,Attentive_NoSplit,50,15288.1,15108.5,179.581,1.51692,0.135712,0.0840158
final_cost,MS_split_MGM_200,Attentive,50,15288.1,14519,769.04,19.9364,3.7063e-25,1.77636e-15
final_cost,MS_split_MGM_200,MS_split_MGM_inverted_200,50,15288.1,16090,-801.901,-20.1723,2.21435e-25,1.77636e-15
final_cost,MS_split_opt_200,Attentive_NoSplit,50,15243.2,15108.5,134.761,1.13304,0.262711,0.178101
final_cost,MS_split_opt_200,Attentive,50,15243.2,14519,724.219,18.9454,3.40229e-24,1.77636e-15
final_cost,MS_split_opt_200,MS_split_MGM_inverted_200,50,15243.2,16090,-846.721,-20.8586,5.08347e-26,1.77636e-15
final_cost,Attentive_NoSplit,Attentive,50,15108.5,14519,589.458,5.45596,1.59282e-06,0.000140383
