algorithm,final_cost_mean,final_cost_std,n,anytime_cost_mean,anytime_cost_std
Attentive,14519.0111,1432.2266,50,14513.8115,1429.3210
DMS_split_at_1000,14554.9860,1416.3172,50,14515.4452,1427.3906
DMS_split_at_100,14582.1693,1455.9533,50,14572.8091,1450.1222
DMS_split_at_300,14584.8317,1413.3710,50,14549.7076,1430.6937
DMS_split_at_50,14589.5276,1415.2777,50,14588.6876,1413.7464
DMS_split_0.4_0.6,14600.5869,1436.9803,50,14595.8865,1441.9128
DMS_split_at_500,14604.1872,1419.3982,50,14544.6488,1429.3443
DMS_split_0.5,14633.4311,1431.0855,50,14633.4311,1431.0855
MS_split_opt_200,14761.3725,1397.9257,50,14761.3725,1397.9257
MS_split_MGM_200,14800.2299,1387.9993,50,14800.2299,1387.9993
DMS,15100.2867,1475.9832,50,14507.4051,1429.6311
Attentive_NoSplit,15108.4693,1618.2438,50,14516.6496,1438.2872
MS_split_MGM_inverted_200,15369.9940,1448.3552,50,15333.6135,1477.1862
MS_split_0.5,17073.2697,1586.3345,50,16452.3124,1685.3312
MS,17204.9294,1910.1396,50,15644.5484,1612.1941
