algorithm,seed,final_cost,anytime_cost
DMS,0,16790.000023,16790.000023
DMS_split_at_1000,0,16790.000023,16790.000023
DMS_split_at_500,0,17174.000023,17101.000022
DMS_split_at_300,0,17621.000025,17315.000025
DMS_split_at_100,0,17402.000026,17379.000025
DMS_split_at_50,0,17171.000025,17130.000026
DMS_split_0.5,0,17507.000024,17327.000024
DMS_split_0.4_0.6,0,17424.000027,17270.000026
DMS,1,17698.000024,17481.000024
DMS_split_0.5,1,18089.000027,18088.000027
DMS_split_at_500,1,17960.000026,17660.000024
DMS_split_0.4_0.6,1,17687.000026,17617.000026
DMS_split_at_300,1,17389.000025,17340.000025
DMS_split_at_100,1,17975.000026,17876.000026
DMS_split_at_50,1,17556.000024,17556.000024
DMS_split_at_1000,1,17529.000023,17355.000023
DMS,2,18729.000021,18166.000022
MS_split_0.5,1,19745.000026,19178.000025
MS_split_MGM_200,1,17241.000026,17241.000026
MS_split_opt_200,1,17241.000026,17241.000026
DMS_split_0.5,2,18544.000022,18499.000022
DMS_split_at_100,2,18479.000022,18372.000021
DMS_split_at_50,2,18479.000022,18372.000021
DMS_split_0.4_0.6,2,18884.000023,18742.000023
DMS_split_at_300,2,18813.000021,18372.000021
MS_split_0.5,0,19757.000024,19350.000025
MS_split_MGM_200,0,17115.000025,17115.000025
MS_split_opt_200,0,17036.000024,17036.000024
DMS_split_at_500,2,18421.000022,18166.000022
DMS,3,18863.000027,17838.000028
MS_split_0.5,2,19299.000021,18664.000023
MS_split_MGM_200,2,18403.000022,18403.000022
MS_split_opt_200,2,18378.000023,18378.000023
DMS_split_at_1000,2,18729.000021,18166.000022
DMS_split_0.5,3,17837.000024,17765.000024
DMS_split_at_50,3,18154.000027,18154.000027
DMS_split_0.4_0.6,3,18212.000025,18065.000026
DMS_split_at_100,3,18031.000027,18031.000027
DMS_split_at_300,3,18374.000025,18054.000024
DMS_split_at_500,3,17982.000028,17953.000028
DMS_split_at_1000,3,17959.000027,17897.000028
DMS,4,17440.000022,17363.000022
DMS_split_0.5,4,17627.000025,17550.000025
DMS_split_0.4_0.6,4,17482.000026,17361.000026
DMS_split_at_50,4,17211.000028,17211.000028
DMS_split_at_1000,4,17440.000022,17363.000022
DMS_split_at_300,4,17186.000024,17186.000024
DMS_split_at_100,4,17587.000024,17528.000029
DMS_split_at_500,4,17531.000027,17363.000022
DMS,5,17445.000025,17445.000025
MS_split_0.5,4,18834.000023,18746.000025
MS_split_MGM_200,4,17141.000024,17141.000024
MS_split_opt_200,4,17141.000024,17141.000024
DMS_split_0.5,5,17485.000026,17428.000026
DMS_split_0.4_0.6,5,17486.000026,17325.000026
DMS_split_at_50,5,17445.000028,17398.000028
DMS_split_at_300,5,17445.000025,17445.000025
DMS_split_at_100,5,17860.000024,17599.000022
DMS_split_at_500,5,17445.000025,17445.000025
MS_split_0.5,3,20503.000027,19710.000025
MS_split_MGM_200,3,17835.000026,17835.000026
MS_split_opt_200,3,17731.000028,17731.000028
DMS_split_at_1000,5,17445.000025,17445.000025
DMS,6,17868.000027,17782.000027
DMS_split_0.5,6,18606.000026,18391.000025
DMS_split_0.4_0.6,6,18180.000027,18172.000025
DMS_split_at_50,6,18254.000025,18254.000025
DMS_split_at_500,6,17902.000026,17782.000027
DMS_split_at_100,6,18010.000026,17901.000024
DMS_split_at_300,6,17863.000027,17782.000027
DMS_split_at_1000,6,17902.000026,17782.000027
DMS,7,18686.000025,18686.000025
MS_split_0.5,6,19436.000025,19377.000025
MS_split_MGM_200,6,17712.000025,17712.000025
MS_split_opt_200,6,17657.000026,17657.000026
DMS_split_0.5,7,18493.000024,18459.000024
DMS_split_at_100,7,18686.000025,18625.000024
DMS_split_0.4_0.6,7,18686.000025,18659.000023
DMS_split_at_50,7,18794.000025,18794.000025
DMS_split_at_300,7,18686.000025,18686.000025
DMS_split_at_500,7,18686.000025,18686.000025
DMS_split_at_1000,7,18686.000025,18686.000025
DMS,8,17295.000024,17136.000022
MS_split_0.5,7,20465.000024,19559.000026
MS_split_MGM_200,7,18360.000023,18360.000023
MS_split_opt_200,7,18326.000024,18326.000024
DMS_split_0.5,8,17330.000023,17270.000023
DMS_split_0.4_0.6,8,17191.000023,17091.000022
DMS_split_at_50,8,17419.000024,17355.000024
DMS_split_at_100,8,17484.000025,17347.000026
DMS_split_at_500,8,17296.000022,17292.000022
DMS_split_at_300,8,17536.000025,17375.000024
