a,b,n,mean_a,mean_b,mean_diff,wilcoxon_p,holm_p,ci_low,ci_high,wins,ties,losses,d_z
DMS,MS,50,17079.4,19630.5,-2551.15,1.1101e-09,1.88716e-08,-2889.4,-2204.59,49,1,0,-2.0335
DMS_split_0.5,DMS,50,16761.7,17079.4,-317.682,0.254718,1,-530.784,-116.623,21,1,28,-0.416298
DMS_split_0.4_0.6,DMS_split_0.5,50,16700.3,16761.7,-61.3604,0.00075038,0.00675342,-92.4967,-31.618,32,4,14,-0.545635
DMS_split_0.95,DMS_split_0.5,50,16637.3,16761.7,-124.418,3.76412e-09,6.02259e-08,-153.215,-97.1193,45,4,1,-1.21728
DMS_split_pulse,DMS_split_0.5,50,16658.6,16761.7,-103.122,2.54181e-08,3.81272e-07,-131.763,-75.782,41,8,1,-1.00932
DMS_split_pulse,DMS_split_0.95,50,16658.6,16637.3,21.2961,0.00445839,0.0334276,7.55892,37.0938,11,13,26,0.394634
DMS_split_at_1000,DMS_split_0.5,50,16636.7,16761.7,-124.973,1.43944e-06,1.87128e-05,-164.156,-85.7696,41,1,8,-0.879963
DMS_split_at_300,DMS_split_0.5,50,16663.4,16761.7,-98.2986,5.34202e-06,6.41042e-05,-132.82,-64.2776,40,1,9,-0.783191
DMS_split_at_100,DMS_split_0.5,50,16717.1,16761.7,-44.6024,0.0255379,0.153227,-83.3257,-5.67884,32,1,17,-0.316424
Attentive,DMS_split_0.5,50,16628.5,16761.7,-133.25,5.45342e-13,9.81615e-12,-165.394,-103.687,48,0,2,-1.17538
Attentive,DMS_split_at_1000,50,16628.5,16636.7,-8.27648,0.752153,1,-40.9561,22.6263,24,0,26,-0.0705968
Attentive,DMS_split_0.95,50,16628.5,16637.3,-8.83143,0.299955,1,-23.2053,4.24809,33,0,17,-0.175784
Attentive,DMS_split_pulse,50,16628.5,16658.6,-30.1276,9.04064e-05,0.000904064,-47.266,-13.7712,39,0,11,-0.498097
Attentive,Attentive_NoSplit,50,16628.5,17088.3,-459.792,0.00417845,0.0334276,-660.896,-271.694,32,0,18,-0.638091
DMS,Attentive_NoSplit,50,17079.4,17088.3,-8.86057,0.851669,1,-200.375,176.447,14,18,18,-0.0132116
MS_split_MGM_200,MS_split_0.5,50,16942.9,19291.7,-2348.84,1.77636e-15,3.55271e-14,-2586.89,-2102.38,50,0,0,-2.63144
MS_split_opt_200,MS_split_MGM_200,50,16878.1,16942.9,-64.8021,7.73973e-08,1.08356e-06,-85.1617,-46.2614,38,12,0,-0.905304
MS_split_MGM_200,MS_split_MGM_inverted_200,50,16942.9,17449.3,-506.373,3.55271e-15,6.75016e-14,-588.586,-424.934,49,0,1,-1.69816
DMS_split_0.5,MS_split_opt_200,50,16761.7,16878.1,-116.382,1.61673e-05,0.00017784,-161.33,-73.2205,36,1,13,-0.727601
DMS,MS_split_opt_200,50,17079.4,16878.1,201.3,0.752153,1,-4.86557,418.392,30,0,20,0.25874
