algorithm,n,n_settled,settle_median,settle_mean
DMS_split_0.5,50,49,43.0,66.0
DMS_split_0.4_0.6,50,38,82.5,143.4
DMS_split_at_50,50,50,100.5,135.7
DMS_split_0.95,50,48,100.5,116.8
DMS_split_at_100,50,50,132.0,147.6
MS,50,1,181.0,181.0
Attentive_NoSplit,50,24,198.5,336.0
DMS_split_pulse,50,50,206.5,205.2
DMS_split_at_300,50,50,334.5,315.2
DMS,50,22,358.5,482.4
DMS_split_at_500,50,50,525.0,459.6
DMS_split_at_1000,50,49,1006.0,777.7
Attentive,50,47,1026.0,1035.0
MS_split_0.5,50,0,,
MS_split_MGM_200,50,0,,
MS_split_MGM_inverted_200,50,0,,
MS_split_opt_200,50,0,,
