metric,algorithm_a,algorithm_b,n,mean_a,mean_b,mean_diff,t_stat,t_pvalue,wilcoxon_pvalue
final_cost,DMS,DMS_split_at_1000,50,18229.4,17900.3,329.06,4.62964,2.71928e-05,3.11232e-05
final_cost,DMS,DMS_split_at_500,50,18229.4,17938.1,291.34,3.5968,0.00074789,0.00431954
final_cost,DMS,DMS_split_at_300,50,18229.4,17943.3,286.06,3.67912,0.000581817,0.00125572
final_cost,DMS,DMS_split_at_100,50,18229.4,17959.9,269.52,3.47889,0.00106657,0.00335204
final_cost,DMS,DMS_split_at_50,50,18229.4,17910.7,318.7,3.75911,0.00045472,0.00186357
final_cost,DMS,DMS_split_0.5,50,18229.4,17952.7,276.66,3.10755,0.00313672,0.0180611
final_cost,DMS,DMS_split_0.4_0.6,50,18229.4,18011.4,218,2.55445,0.0137943,0.0710509
final_cost,DMS,MS_split_0.5,50,18229.4,19703.3,-1473.88,-11.837,5.58345e-16,5.86198e-14
final_cost,DMS,MS_split_MGM_200,50,18229.4,17701.1,528.34,6.18062,1.23215e-07,1.61833e-08
final_cost,DMS,MS_split_opt_200,50,18229.4,17663.8,565.58,6.6463,2.34348e-08,1.31497e-09
final_cost,DMS,Attentive,50,18229.4,16628.5,1600.94,18.8716,4.0268e-24,1.77636e-15
final_cost,DMS,MS,50,18229.4,19924.5,-1695.09,-14.7942,1.05287e-19,1.77636e-15
final_cost,DMS,Attentive_NoSplit,50,18229.4,17088.3,1141.15,8.50343,3.27998e-11,3.48974e-10
final_cost,DMS_split_at_1000,DMS_split_at_500,50,17900.3,17938.1,-37.72,-0.969208,0.337201,0.394372
final_cost,DMS_split_at_1000,DMS_split_at_300,50,17900.3,17943.3,-43,-1.02145,0.31206,0.609513
final_cost,DMS_split_at_1000,DMS_split_at_100,50,17900.3,17959.9,-59.54,-1.327,0.190658,0.12615
final_cost,DMS_split_at_1000,DMS_split_at_50,50,17900.3,17910.7,-10.36,-0.240794,0.810719,0.561032
final_cost,DMS_split_at_1000,DMS_split_0.5,50,17900.3,17952.7,-52.4,-1.18598,0.24135,0.318325
final_cost,DMS_split_at_1000,DMS_split_0.4_0.6,50,17900.3,18011.4,-111.06,-2.28015,0.0269877,0.0116322
final_cost,DMS_split_at_1000,MS_split_0.5,50,17900.3,19703.3,-1802.94,-17.0805,2.83288e-22,1.77636e-15
final_cost,DMS_split_at_1000,MS_split_MGM_200,50,17900.3,17701.1,199.28,4.83451,1.36131e-05,1.97602e-05
final_cost,DMS_split_at_1000,MS_split_opt_200,50,17900.3,17663.8,236.52,5.85656,3.89005e-07,3.99202e-07
final_cost,DMS_split_at_1000,Attentive,50,17900.3,16628.5,1271.88,29.1218,1.35446e-32,1.77636e-15
final_cost,DMS_split_at_1000,MS,50,17900.3,19924.5,-2024.15,-20.4807,1.13764e-25,1.77636e-15
final_cost,DMS_split_at_1000,Attentive_NoSplit,50,17900.3,17088.3,812.088,7.37492,1.74534e-09,1.48953e-08
final_cost,DMS_split_at_500,DMS_split_at_300,50,17938.1,17943.3,-5.28,-0.129241,0.897696,0.914368
final_cost,DMS_split_at_500,DMS_split_at_100,50,17938.1,17959.9,-21.82,-0.532626,0.5967,0.375578
final_cost,DMS_split_at_500,DMS_split_at_50,50,17938.1,17910.7,27.36,0.750196,0.456724,0.508622
final_cost,DMS_split_at_500,DMS_split_0.5,50,17938.1,17952.7,-14.68,-0.379063,0.706279,0.744896
final_cost,DMS_split_at_500,DMS_split_0.4_0.6,50,17938.1,18011.4,-73.34,-1.80416,0.0773548,0.0830324
final_cost,DMS_split_at_500,MS_split_0.5,50,17938.1,19703.3,-1765.22,-17.0338,3.1786e-22,1.77636e-15
final_cost,DMS_split_at_500,MS_split_MGM_200,50,17938.1,17701.1,237,6.27776,8.72015e-08,2.85739e-08
final_cost,DMS_split_at_500,MS_split_opt_200,50,17938.1,17663.8,274.24,7.52406,1.02758e-09,6.62553e-08
final_cost,DMS_split_at_500,Attentive,50,17938.1,16628.5,1309.6,31.6607,2.76114e-34,1.77636e-15
final_cost,DMS_split_at_500,MS,50,17938.1,19924.5,-1986.43,-21.1115,2.98466e-26,1.77636e-15
final_cost,DMS_split_at_500,Attentive_NoSplit,50,17938.1,17088.3,849.808,8.04261,1.64458e-10,2.81309e-09
final_cost,DMS_split_at_300,DMS_split_at_100,50,17943.3,17959.9,-16.54,-0.465589,0.643573,0.739147
final_cost,DMS_split_at_300,DMS_split_at_50,50,17943.3,17910.7,32.64,0.961155,0.341194,0.40316
final_cost,DMS_split_at_300,DMS_split_0.5,50,17943.3,17952.7,-9.4,-0.20145,0.841181,0.863265
final_cost,DMS_split_at_300,DMS_split_0.4_0.6,50,17943.3,18011.4,-68.06,-1.78805,0.0799516,0.0777108
final_cost,DMS_split_at_300,MS_split_0.5,50,17943.3,19703.3,-1759.94,-17.3539,1.44983e-22,1.77636e-15
final_cost,DMS_split_at_300,MS_split_MGM_200,50,17943.3,17701.1,242.28,5.88953,3.46176e-07,2.19097e-06
final_cost,DMS_split_at_300,MS_split_opt_200,50,17943.3,17663.8,279.52,6.94976,7.93564e-09,8.22989e-09
final_cost,DMS_split_at_300,Attentive,50,17943.3,16628.5,1314.88,28.7034,2.64881e-32,1.77636e-15
final_cost,DMS_split_at_300,MS,50,17943.3,19924.5,-1981.15,-20.6871,7.31617e-26,5.32907e-15
final_cost,DMS_split_at_300,Attentive_NoSplit,50,17943.3,17088.3,855.088,7.64005,6.81104e-10,7.54686e-09
final_cost,DMS_split_at_100,DMS_split_at_50,50,17959.9,17910.7,49.18,1.29127,0.202669,0.400391
final_cost,DMS_split_at_100,DMS_split_0.5,50,17959.9,17952.7,7.14,0.169595,0.866027,0.514809
final_cost,DMS_split_at_100,DMS_split_0.4_0.6,50,17959.9,18011.4,-51.52,-1.1918,0.239079,0.242481
final_cost,DMS_split_at_100,MS_split_0.5,50,17959.9,19703.3,-1743.4,-18.7321,5.54659e-24,1.77636e-15
final_cost,DMS_split_at_100,MS_split_MGM_200,50,17959.9,17701.1,258.82,5.61363,9.16295e-07,6.35478e-07
final_cost,DMS_split_at_100,MS_split_opt_200,50,17959.9,17663.8,296.06,6.63364,2.45177e-08,1.15832e-08
final_cost,DMS_split_at_100,Attentive,50,17959.9,16628.5,1331.42,27.7021,1.36651e-31,1.77636e-15
final_cost,DMS_split_at_100,MS,50,17959.9,19924.5,-1964.61,-21.5045,1.31783e-26,1.77636e-15
final_cost,DMS_split_at_100,Attentive_NoSplit,50,17959.9,17088.3,871.628,7.6989,5.52999e-10,4.44053e-09
final_cost,DMS_split_at_50,DMS_split_0.5,50,17910.7,17952.7,-42.04,-1.21243,0.231163,0.271691
final_cost,DMS_split_at_50,DMS_split_0.4_0.6,50,17910.7,18011.4,-100.7,-3.23196,0.00220056,0.00366325
final_cost,DMS_split_at_50,MS_split_0.5,50,17910.7,19703.3,-1792.58,-18.3411,1.3739e-23,1.77636e-15
final_cost,DMS_split_at_50,MS_split_MGM_200,50,17910.7,17701.1,209.64,6.61333,2.63599e-08,9.15467e-07
