algorithm,final_cost_mean,final_cost_std,n,anytime_cost_mean,anytime_cost_std
Attentive,16628.4600,275.4197,50,16621.2800,277.7695
Attentive_NoSplit,17088.2521,754.5876,50,16584.3917,268.9306
MS_split_opt_200,17663.8200,379.9815,50,17663.8200,379.9815
MS_split_MGM_200,17701.0600,379.8174,50,17701.0600,379.8174
DMS_split_at_1000,17900.3400,443.0892,50,17733.3400,414.1324
DMS_split_at_50,17910.7000,434.6928,50,17864.5400,427.6379
DMS_split_at_500,17938.0600,438.3626,50,17781.9400,403.5258
DMS_split_at_300,17943.3400,457.1468,50,17796.1400,421.2056
DMS_split_0.5,17952.7400,401.1487,50,17894.4000,391.3050
DMS_split_at_100,17959.8800,453.9297,50,17867.4800,418.7546
DMS_split_0.4_0.6,18011.4000,434.3302,50,17895.7000,415.7975
DMS,18229.4000,668.5527,50,17727.0200,415.4336
MS_split_MGM_inverted_200,18663.1534,530.3740,50,18658.6342,530.1280
MS_split_0.5,19703.2800,686.6120,50,19310.4200,559.7148
MS,19924.4872,734.4980,50,18495.0879,462.4909
