algorithm,seed,final_cost,anytime_cost
MS,1,247.026024,112.041614
MS,0,270.106547,104.048273
MS,2,250.020899,104.033191
DMS,1,64.109488,63.104883
DMS,0,63.108428,53.106914
DMS,2,55.095096,53.092303
DMS_split_at_1000,1,64.109488,63.104883
DMS_split_at_1000,0,63.108428,53.106914
MS_split_0.5,0,270.106547,104.048273
MS_split_MGM_200,0,59.105486,59.105486
MS_split_opt_200,0,59.105486,59.105486
MS_split_0.5,1,224.024554,112.041614
MS_split_MGM_200,1,89.046081,89.046081
MS_split_opt_200,1,85.047531,85.047531
DMS_split_at_500,1,64.109488,63.104883
DMS_split_at_500,0,63.108428,53.106914
DMS_split_at_300,1,64.109488,63.104883
DMS_split_at_300,0,63.108428,53.106914
DMS_split_at_50,1,54.071729,54.071729
DMS_split_at_100,0,63.108428,53.106914
DMS_split_at_100,1,69.090446,64.081199
DMS_split_0.5,1,61.076895,61.076895
DMS_split_at_50,0,57.088234,53.106914
DMS_split_0.4_0.6,1,62.091239,60.087051
DMS_split_0.4_0.6,2,62.117713,59.110320
DMS_split_0.5,0,62.097689,59.104142
DMS_split_0.5,2,65.081754,63.079690
DMS_split_0.4_0.6,0,60.103765,58.096253
MS,3,258.018343,122.087082
DMS_split_at_1000,2,55.095096,53.092303
DMS,3,61.107836,60.101116
DMS_split_at_500,2,55.095096,53.092303
DMS_split_at_300,2,55.095096,53.092303
MS_split_0.5,2,270.085397,104.033191
MS_split_MGM_200,2,65.070930,65.070930
MS_split_opt_200,2,62.083441,62.083441
MS,4,251.015810,108.018755
DMS_split_at_50,2,62.097236,61.110490
DMS_split_at_100,2,65.095826,60.095976
DMS,4,68.088333,65.099110
DMS_split_at_1000,3,61.107836,60.101116
MS_split_0.5,3,258.018316,124.089774
MS_split_MGM_200,3,96.033559,96.033559
MS_split_opt_200,3,93.038753,93.038753
DMS_split_at_500,3,61.107836,60.101116
MS,5,243.014170,108.030183
DMS_split_0.5,3,63.076066,63.076066
DMS_split_at_300,3,61.107836,60.101116
DMS_split_at_50,3,63.093186,63.093186
DMS_split_0.4_0.6,3,57.106918,57.100580
DMS_split_at_100,3,61.107836,61.107836
DMS,5,66.080524,56.075342
DMS_split_at_50,4,65.090697,63.106820
DMS_split_0.5,4,68.088333,68.088333
DMS_split_at_100,4,68.088333,61.096137
DMS_split_0.4_0.6,4,70.097391,66.091316
DMS_split_at_1000,4,68.088333,65.099110
DMS_split_at_300,4,68.088333,65.099110
DMS_split_at_500,4,68.088333,65.099110
MS_split_0.5,4,242.015263,108.018755
MS_split_MGM_200,4,91.048242,91.048242
MS_split_opt_200,4,88.042432,88.042432
MS,6,260.024934,108.041517
DMS,6,57.093528,57.093528
DMS_split_0.5,5,58.103091,58.103091
DMS_split_0.4_0.6,5,58.108632,57.103728
DMS_split_at_50,5,63.094236,58.102476
DMS_split_at_1000,5,59.081673,56.075342
DMS_split_at_100,5,58.079712,56.075342
DMS_split_at_500,5,64.080825,56.075342
MS,7,238.017953,98.038753
DMS_split_at_300,5,63.094236,56.075342
MS_split_0.5,5,250.018267,108.030183
MS_split_MGM_200,5,89.031065,89.031065
MS_split_opt_200,5,89.031065,89.031065
DMS,7,64.101394,58.106967
DMS_split_at_1000,6,57.093528,57.093528
DMS_split_0.4_0.6,6,64.112803,62.110115
DMS_split_0.5,6,62.097612,62.097612
