metric,algorithm_a,algorithm_b,n,mean_a,mean_b,mean_diff,t_stat,t_pvalue,wilcoxon_pvalue
final_cost,MS,DMS,50,256.785,62.8749,193.91,134.989,1.12673e-64,1.77636e-15
final_cost,MS,DMS_split_at_1000,50,256.785,62.9547,193.831,137.999,3.83505e-65,1.77636e-15
final_cost,MS,MS_split_0.5,50,256.785,254.976,1.80966,0.997225,0.323555,0.309043
final_cost,MS,MS_split_MGM_200,50,256.785,88.0931,168.692,86.1868,3.62445e-55,1.77636e-15
final_cost,MS,MS_split_opt_200,50,256.785,86.2147,170.571,89.0828,7.24961e-56,1.77636e-15
final_cost,MS,DMS_split_at_500,50,256.785,63.0161,193.769,134.546,1.32314e-64,1.77636e-15
final_cost,MS,DMS_split_at_300,50,256.785,62.9957,193.79,134.986,1.1281e-64,1.77636e-15
final_cost,MS,DMS_split_at_50,50,256.785,62.8547,193.931,136.227,7.21034e-65,1.77636e-15
final_cost,MS,DMS_split_at_100,50,256.785,63.4744,193.311,137.151,5.18331e-65,1.77636e-15
final_cost,MS,DMS_split_0.5,50,256.785,63.0494,193.736,135.735,8.60769e-65,1.77636e-15
final_cost,MS,DMS_split_0.4_0.6,50,256.785,63.0203,193.765,129.584,8.29752e-64,1.77636e-15
final_cost,MS,MS_split_MGM_inverted_200,50,256.785,107.88,148.905,84.7289,8.31605e-55,1.77636e-15
final_cost,DMS,DMS_split_at_1000,50,62.8749,62.9547,-0.0798347,-0.308943,0.758675,0.888638
final_cost,DMS,MS_split_0.5,50,62.8749,254.976,-192.101,-88.7413,8.74113e-56,1.77636e-15
final_cost,DMS,MS_split_MGM_200,50,62.8749,88.0931,-25.2182,-15.6543,1.06108e-20,2.4869e-14
final_cost,DMS,MS_split_opt_200,50,62.8749,86.2147,-23.3398,-15.1113,4.47285e-20,5.86198e-14
final_cost,DMS,DMS_split_at_500,50,62.8749,63.0161,-0.141221,-0.697626,0.488708,0.441268
final_cost,DMS,DMS_split_at_300,50,62.8749,62.9957,-0.120851,-0.671273,0.505199,0.423596
final_cost,DMS,DMS_split_at_50,50,62.8749,62.8547,0.0201067,0.0435534,0.965437,0.96081
final_cost,DMS,DMS_split_at_100,50,62.8749,63.4744,-0.599564,-1.30345,0.198511,0.348771
final_cost,DMS,DMS_split_0.5,50,62.8749,63.0494,-0.174591,-0.20438,0.838903,0.545089
final_cost,DMS,DMS_split_0.4_0.6,50,62.8749,63.0203,-0.145411,-0.216224,0.829711,0.977103
final_cost,DMS,MS_split_MGM_inverted_200,50,62.8749,107.88,-45.0054,-25.1504,1.14665e-29,1.77636e-15
final_cost,DMS_split_at_1000,MS_split_0.5,50,62.9547,254.976,-192.021,-88.8838,8.08384e-56,1.77636e-15
final_cost,DMS_split_at_1000,MS_split_MGM_200,50,62.9547,88.0931,-25.1384,-15.1984,3.54272e-20,5.86198e-14
final_cost,DMS_split_at_1000,MS_split_opt_200,50,62.9547,86.2147,-23.26,-14.6123,1.72953e-19,9.76996e-14
final_cost,DMS_split_at_1000,DMS_split_at_500,50,62.9547,63.0161,-0.0613865,-0.274315,0.784996,0.735317
final_cost,DMS_split_at_1000,DMS_split_at_300,50,62.9547,62.9957,-0.0410167,-0.19898,0.843102,0.779435
final_cost,DMS_split_at_1000,DMS_split_at_50,50,62.9547,62.8547,0.0999413,0.2034,0.839665,0.962408
final_cost,DMS_split_at_1000,DMS_split_at_100,50,62.9547,63.4744,-0.51973,-1.17207,0.246835,0.375772
final_cost,DMS_split_at_1000,DMS_split_0.5,50,62.9547,63.0494,-0.0947563,-0.117574,0.906886,0.43982
final_cost,DMS_split_at_1000,DMS_split_0.4_0.6,50,62.9547,63.0203,-0.0655765,-0.106016,0.916003,0.977103
final_cost,DMS_split_at_1000,MS_split_MGM_inverted_200,50,62.9547,107.88,-44.9256,-25.4932,6.18492e-30,1.77636e-15
final_cost,MS_split_0.5,MS_split_MGM_200,50,254.976,88.0931,166.883,60.2645,1.26361e-47,1.77636e-15
final_cost,MS_split_0.5,MS_split_opt_200,50,254.976,86.2147,168.761,62.5729,2.05003e-48,1.77636e-15
final_cost,MS_split_0.5,DMS_split_at_500,50,254.976,63.0161,191.96,88.3642,1.07558e-55,1.77636e-15
final_cost,MS_split_0.5,DMS_split_at_300,50,254.976,62.9957,191.98,87.4363,1.79843e-55,1.77636e-15
final_cost,MS_split_0.5,DMS_split_at_50,50,254.976,62.8547,192.121,91.853,1.63096e-56,1.77636e-15
final_cost,MS_split_0.5,DMS_split_at_100,50,254.976,63.4744,191.501,91.5098,1.95733e-56,1.77636e-15
final_cost,MS_split_0.5,DMS_split_0.5,50,254.976,63.0494,191.926,99.8854,2.7398e-58,1.77636e-15
final_cost,MS_split_0.5,DMS_split_0.4_0.6,50,254.976,63.0203,191.955,91.8635,1.62193e-56,1.77636e-15
final_cost,MS_split_0.5,MS_split_MGM_inverted_200,50,254.976,107.88,147.095,87.6532,1.59398e-55,1.77636e-15
final_cost,MS_split_MGM_200,MS_split_opt_200,50,88.0931,86.2147,1.87843,6.43177,5.03746e-08,3.65283e-07
final_cost,MS_split_MGM_200,DMS_split_at_500,50,88.0931,63.0161,25.077,15.8562,6.2672e-21,2.4869e-14
final_cost,MS_split_MGM_200,DMS_split_at_300,50,88.0931,62.9957,25.0974,15.7347,8.59977e-21,2.4869e-14
final_cost,MS_split_MGM_200,DMS_split_at_50,50,88.0931,62.8547,25.2383,15.7865,7.51365e-21,5.32907e-15
final_cost,MS_split_MGM_200,DMS_split_at_100,50,88.0931,63.4744,24.6187,14.4413,2.76751e-19,1.95399e-13
final_cost,MS_split_MGM_200,DMS_split_0.5,50,88.0931,63.0494,25.0436,13.9455,1.10386e-18,1.95399e-13
final_cost,MS_split_MGM_200,DMS_split_0.4_0.6,50,88.0931,63.0203,25.0728,15.0092,5.88459e-20,8.88178e-15
final_cost,MS_split_MGM_200,MS_split_MGM_inverted_200,50,88.0931,107.88,-19.7872,-6.86244,1.08364e-08,1.24345e-14
final_cost,MS_split_opt_200,DMS_split_at_500,50,86.2147,63.0161,23.1986,15.298,2.71688e-20,4.44089e-14
final_cost,MS_split_opt_200,DMS_split_at_300,50,86.2147,62.9957,23.2189,15.1496,4.03655e-20,5.86198e-14
final_cost,MS_split_opt_200,DMS_split_at_50,50,86.2147,62.8547,23.3599,15.1097,4.49249e-20,4.44089e-14
final_cost,MS_split_opt_200,DMS_split_at_100,50,86.2147,63.4744,22.7402,13.7932,1.69842e-18,2.43361e-13
final_cost,MS_split_opt_200,DMS_split_0.5,50,86.2147,63.0494,23.1652,13.2419,8.27903e-18,4.49418e-13
final_cost,MS_split_opt_200,DMS_split_0.4_0.6,50,86.2147,63.0203,23.1944,14.333,3.73447e-19,4.44089e-14
final_cost,MS_split_opt_200,MS_split_MGM_inverted_200,50,86.2147,107.88,-21.6656,-7.66953,6.13582e-10,1.77636e-15
final_cost,DMS_split_at_500,DMS_split_at_300,50,63.0161,62.9957,0.0203698,0.135673,0.892636,0.593955
final_cost,DMS_split_at_500,DMS_split_at_50,50,63.0161,62.8547,0.161328,0.35028,0.72763,0.857535
