algorithm,final_cost_mean,final_cost_std,n,anytime_cost_mean,anytime_cost_std
DMS_split_at_50,62.8547,5.4958,50,60.6955,4.9825
DMS,62.8749,5.6355,50,59.3158,4.4874
DMS_split_at_1000,62.9547,5.5510,50,59.3761,4.4633
DMS_split_at_300,62.9957,5.6718,50,59.4959,4.5085
DMS_split_at_500,63.0161,5.5758,50,59.4362,4.4475
DMS_split_0.4_0.6,63.0203,5.7402,50,60.1163,4.5897
DMS_split_0.5,63.0494,5.2876,50,61.3510,4.4810
DMS_split_at_100,63.4744,5.1542,50,60.2948,4.7679
MS_split_opt_200,86.2147,11.5799,50,85.9751,11.3966
MS_split_MGM_200,88.0931,11.9738,50,87.7930,11.7690
MS_split_0.5,254.9757,12.5474,50,109.0276,10.9194
MS,256.7854,8.1740,50,108.9274,11.2373
Optimal,,,0,,
