metric,algorithm_a,algorithm_b,n,mean_a,mean_b,mean_diff,t_stat,t_pvalue,wilcoxon_pvalue
final_cost,MS,DMS,50,73275.3,70533.9,2741.5,8.79811,1.18118e-11,5.70743e-12
final_cost,MS,DMS_split_at_1000,50,73275.3,68036.2,5239.18,46.1204,4.96713e-42,1.77636e-15
final_cost,MS,DMS_split_at_500,50,73275.3,67976.2,5299.15,42.5626,2.31028e-40,1.77636e-15
final_cost,MS,DMS_split_at_300,50,73275.3,68104,5171.34,46.9887,2.03137e-42,1.77636e-15
final_cost,MS,DMS_split_0.4_0.6,50,73275.3,67899.2,5376.19,51.4227,2.66868e-44,1.77636e-15
final_cost,MS,DMS_split_at_100,50,73275.3,68103.2,5172.14,46.7857,2.49997e-42,1.77636e-15
final_cost,MS,DMS_split_at_50,50,73275.3,68239.1,5036.22,46.0032,5.61077e-42,1.77636e-15
final_cost,MS,DMS_split_0.5,50,73275.3,68136.2,5139.14,48.2093,5.93432e-43,1.77636e-15
final_cost,MS,MS_split_0.5,50,73275.3,73206.2,69.1974,0.549594,0.585094,0.47832
final_cost,MS,MS_split_MGM_200,50,73275.3,68610.1,4665.26,42.6086,2.194e-40,1.77636e-15
final_cost,MS,MS_split_opt_200,50,73275.3,68610.1,4665.26,42.6086,2.194e-40,1.77636e-15
final_cost,MS,DMS_split_at_1500,50,73275.3,67933.4,5341.94,44.0554,4.45035e-41,1.77636e-15
final_cost,DMS,DMS_split_at_1000,50,70533.9,68036.2,2497.68,8.54,2.88819e-11,1.2881e-07
final_cost,DMS,DMS_split_at_500,50,70533.9,67976.2,2557.66,8.04384,1.63748e-10,2.28307e-07
final_cost,DMS,DMS_split_at_300,50,70533.9,68104,2429.84,7.57073,8.70809e-10,1.013e-06
final_cost,DMS,DMS_split_0.4_0.6,50,70533.9,67899.2,2634.69,8.58261,2.49081e-11,3.70551e-09
final_cost,DMS,DMS_split_at_100,50,70533.9,68103.2,2430.64,7.97044,2.12009e-10,4.2364e-08
final_cost,DMS,DMS_split_at_50,50,70533.9,68239.1,2294.72,7.29461,2.32233e-09,1.049e-07
final_cost,DMS,DMS_split_0.5,50,70533.9,68136.2,2397.64,7.68849,5.73749e-10,9.74576e-08
final_cost,DMS,MS_split_0.5,50,70533.9,73206.2,-2672.3,-8.1147,1.27655e-10,2.02203e-11
final_cost,DMS,MS_split_MGM_200,50,70533.9,68610.1,1923.76,5.94282,2.8664e-07,8.78411e-07
final_cost,DMS,MS_split_opt_200,50,70533.9,68610.1,1923.76,5.94282,2.8664e-07,8.78411e-07
final_cost,DMS,DMS_split_at_1500,50,70533.9,67933.4,2600.44,8.99833,5.92952e-12,6.64242e-08
final_cost,DMS_split_at_1000,DMS_split_at_500,50,68036.2,67976.2,59.9777,0.611078,0.543973,0.421256
