algorithm,final_cost_mean,final_cost_std,n,anytime_cost_mean,anytime_cost_std
DMS_split_0.4_0.6,67899.1571,3101.1887,50,67665.5957,3091.6151
DMS_split_at_1500,67933.4118,3192.5994,50,67371.9323,3101.1218
DMS_split_at_500,67976.1937,3208.3035,50,67509.4149,3072.3986
DMS_split_at_1000,68036.1714,3102.4643,50,67452.5113,3108.1402
DMS_split_at_100,68103.2113,3214.8128,50,67786.4316,3173.9851
DMS_split_at_300,68104.0115,3209.5856,50,67675.4710,3159.2970
DMS_split_0.5,68136.2093,3140.0386,50,67842.2311,3115.9903
DMS_split_at_50,68239.1309,3103.4446,50,67920.1487,3131.7346
MS_split_opt_200,68610.0900,3136.9477,50,68610.0900,3136.9477
MS_split_MGM_200,68610.0900,3136.9477,50,68610.0900,3136.9477
DMS,70533.8507,3758.8202,50,67350.7916,3128.8107
MS_split_0.5,73206.1507,3358.2356,50,70933.2092,3200.9644
MS,73275.3481,3276.0361,50,70921.7699,3114.8812
