algorithm,seed,final_cost,anytime_cost
MS,1,11160.221388,10483.281177
MS,0,12652.232295,11623.240504
MS,2,14365.222690,13059.254561
DMS,1,10397.283160,9176.229944
DMS,0,12194.233335,10473.211389
DMS,2,13259.249182,11964.232984
DMS_split_at_1000,1,9484.279174,9176.229944
MS_split_0.5,1,11010.259693,10492.219975
MS_split_MGM_200,1,9649.262570,9649.262570
MS_split_opt_200,1,9581.254448,9581.254448
DMS_split_at_1000,0,10451.292041,10357.286869
DMS_split_at_500,1,9367.246018,9305.250472
DMS_split_at_300,1,9525.245021,9525.245021
DMS_split_at_500,0,10493.275954,10424.269326
DMS_split_at_50,1,9385.272972,9385.272972
DMS_split_at_100,1,9616.257954,9559.267407
DMS_split_0.4_0.6,1,9319.235188,9319.235188
DMS_split_at_300,0,10682.241080,10473.211389
MS,3,14622.251283,13658.237933
DMS_split_0.5,1,9309.267028,9309.267028
DMS_split_at_100,0,10808.295919,10473.211389
DMS_split_0.5,0,10660.246993,10660.246993
DMS_split_at_50,0,10520.237526,10520.237526
DMS_split_0.4_0.6,0,10689.232990,10613.221502
DMS_split_at_100,2,12296.246549,12295.242792
DMS_split_at_50,2,12061.248734,11923.235846
DMS_split_0.4_0.6,2,12066.260880,11862.262699
DMS_split_0.5,2,12096.241144,12020.233822
DMS,3,13909.264099,12118.253128
DMS_split_at_1000,2,11939.224564,11833.245888
MS,4,12417.281215,11751.274039
DMS_split_at_500,2,11962.234932,11962.234932
DMS_split_at_300,2,12565.270047,12152.242594
DMS,4,11672.256379,10520.262443
MS,5,12104.262121,10481.224154
DMS,5,10904.276081,9280.223579
DMS_split_at_1000,3,12736.283609,12118.253128
DMS_split_at_1000,4,10951.277424,10826.245714
DMS_split_0.5,3,12365.249322,12365.249322
DMS_split_at_300,3,11984.257484,11984.257484
DMS_split_at_50,3,12406.270662,12148.259342
DMS_split_at_500,4,11004.277136,10841.228934
DMS_split_0.4_0.6,3,12282.266176,12122.286050
DMS_split_at_500,3,12795.243046,12118.253128
DMS_split_0.5,4,10688.281550,10615.277497
DMS_split_at_300,4,11149.248619,10970.234584
DMS_split_at_100,3,12609.247673,12471.256490
DMS_split_0.4_0.6,4,10707.246453,10693.255090
DMS_split_at_100,4,10864.278594,10805.276157
DMS_split_at_50,4,10552.261163,10480.276072
DMS_split_0.5,5,9428.269264,9335.270630
DMS_split_at_1000,5,9348.223376,9280.223579
MS,6,11886.297395,10931.223354
DMS_split_0.4_0.6,5,9417.245457,9401.259447
DMS_split_at_50,5,9270.242710,9270.242710
DMS_split_at_500,5,9633.250991,9418.256286
DMS_split_at_300,5,9735.247999,9453.249028
DMS,6,11481.257127,9623.239417
MS_split_0.5,4,12948.247151,11684.286596
MS_split_MGM_200,4,10860.279649,10860.279649
MS_split_opt_200,4,10808.276943,10808.276943
MS,7,10113.227993,9429.260508
DMS_split_at_100,5,9918.229490,9737.243116
DMS,7,9711.254653,8560.214337
MS,8,10935.235824,9630.248618
DMS_split_at_1000,6,9443.241758,9417.239123
DMS,8,8832.279096,8430.249212
DMS_split_at_500,6,10241.283656,10055.249555
DMS_split_at_300,6,9555.241208,9555.241208
DMS_split_0.5,7,8535.248139,8443.259223
DMS_split_0.5,6,9666.262567,9666.262567
DMS_split_0.4_0.6,7,8587.274501,8513.257657
DMS_split_at_100,6,9738.244170,9729.236880
DMS_split_0.4_0.6,6,9958.227448,9840.229893
DMS_split_at_1000,7,8586.250975,8481.259912
DMS_split_at_50,6,9792.275553,9700.250990
DMS_split_at_500,7,8776.221527,8731.231353
DMS_split_at_300,7,8604.245895,8527.239841
DMS_split_at_50,7,8831.248480,8824.254981
DMS_split_at_100,7,8836.249880,8829.241375
MS_split_0.5,7,9899.236330,9452.253882
MS_split_MGM_200,7,8908.221319,8908.221319
MS_split_opt_200,7,8551.210875,8551.210875
MS,9,8812.246504,7888.216450
DMS_split_0.5,8,8423.276082,8396.269035
DMS_split_at_50,8,8338.266910,8338.266910
DMS_split_0.4_0.6,8,8552.253070,8552.253070
DMS,9,8165.214543,6689.253648
DMS_split_at_100,8,8632.251068,8595.236963
MS,10,11198.246489,10714.254100
DMS_split_at_1000,8,8472.258882,8472.258882
MS_split_0.5,0,12820.244908,11666.270040
MS_split_MGM_200,0,10709.204316,10709.204316
MS_split_opt_200,0,10517.204437,10517.204437
DMS_split_at_500,8,8748.298689,8617.255371
DMS,10,10839.213154,9357.227968
DMS_split_at_300,8,8558.265610,8524.263504
DMS_split_at_1000,9,6816.244246,6816.244246
MS_split_0.5,9,8620.272827,7550.263012
MS_split_MGM_200,9,7303.250567,7303.250567
MS_split_opt_200,9,7203.254496,7203.254496
DMS_split_at_500,9,6669.229611,6669.229611
DMS_split_at_300,9,6745.259672,6745.259672
DMS_split_at_100,9,6942.233869,6894.230710
DMS_split_0.5,9,6921.251742,6872.241474
DMS_split_at_50,9,6942.253720,6925.247006
DMS_split_0.4_0.6,9,6724.244912,6600.237125
MS,11,10947.258393,10047.286090
MS_split_0.5,8,10785.214886,9504.264556
MS_split_MGM_200,8,9012.234068,9012.234068
MS_split_opt_200,8,8985.224280,8985.224280
DMS,11,10563.260426,8726.216641
DMS_split_at_1000,10,9636.239368,9600.236986
MS,12,11965.236202,11561.262779
DMS_split_0.5,10,9909.236095,9799.259240
DMS_split_at_500,10,9638.248017,9536.244223
DMS_split_at_300,10,9735.262043,9605.251672
DMS_split_0.4_0.6,10,9630.223933,9421.241390
DMS_split_at_50,10,9678.249206,9677.245215
DMS,12,10857.273114,10381.272365
DMS_split_at_100,10,9729.267825,9701.260237
DMS_split_at_1000,11,8768.246594,8752.250103
DMS_split_0.5,11,9012.264590,8950.261755
DMS_split_at_500,11,9171.223825,9023.211543
DMS_split_at_300,11,9075.276652,8905.265552
DMS_split_0.4_0.6,11,9000.229043,9000.229043
DMS_split_at_100,11,9221.236107,9051.235291
MS_split_0.5,10,11727.222732,10706.204708
MS_split_MGM_200,10,9629.259862,9629.259862
MS_split_opt_200,10,9534.243711,9534.243711
DMS_split_at_50,11,9092.258813,9092.258813
MS,13,13396.218746,12493.260822
DMS_split_0.5,12,10390.261008,10390.261008
DMS,13,13432.272540,11163.262568
DMS_split_0.4_0.6,12,10273.255359,10232.250104
MS,14,12236.226973,11160.223467
DMS_split_at_50,12,10086.242371,10086.242371
DMS_split_at_1000,12,10427.239932,10374.232693
DMS_split_at_100,12,10149.229154,10147.239389
DMS,14,12218.255660,10103.266124
DMS_split_at_500,12,10304.249666,10158.253287
MS_split_0.5,6,12190.257634,11079.271875
MS_split_MGM_200,6,10317.295967,10317.295967
MS_split_opt_200,6,10172.286073,10172.286073
DMS_split_at_300,12,10137.246962,10137.246962
DMS_split_at_1000,13,11625.271420,11163.262568
DMS_split_0.5,13,12053.263944,11671.265737
DMS_split_0.4_0.6,13,11443.253870,11388.265085
DMS_split_at_50,13,11630.251297,11367.254573
MS,15,12789.254245,11948.245016
DMS_split_at_100,13,11583.273248,11439.270040
DMS_split_at_500,13,11438.271789,11378.263792
DMS_split_at_300,13,11157.281305,11157.281305
DMS,15,12401.253562,10678.285582
DMS_split_0.5,14,9961.239584,9961.239584
DMS_split_0.4_0.6,14,10068.221301,10053.198294
DMS_split_at_1000,14,9855.214920,9855.214920
DMS_split_at_500,14,10190.192533,10190.192533
DMS_split_at_50,14,10074.250926,10074.250926
DMS_split_at_100,14,10180.238950,9962.234141
DMS_split_at_300,14,9858.255091,9858.255091
MS,16,13515.237054,12458.201252
DMS,16,12402.278093,11329.252649
DMS_split_0.5,15,10744.264448,10634.258312
DMS_split_0.4_0.6,15,10545.252377,10411.248752
DMS_split_at_50,15,10731.258416,10527.253373
DMS_split_at_1000,15,10875.275445,10678.285582
MS,17,13360.227940,12299.231528
DMS_split_at_500,15,10688.266859,10688.266859
DMS_split_at_300,15,10714.243545,10564.247732
DMS_split_at_100,15,10570.242220,10570.242220
DMS,17,12947.280695,11000.267511
MS_split_0.5,5,11746.227074,10574.248957
MS_split_MGM_200,5,9879.243414,9879.243414
MS_split_opt_200,5,9779.240979,9779.240979
DMS_split_0.5,16,11016.275904,10943.281394
DMS_split_at_1000,16,11135.248467,10981.227149
DMS_split_0.4_0.6,16,11296.239184,11238.238591
DMS_split_at_50,16,11352.250889,11111.257750
DMS_split_at_300,16,11678.243965,11659.264207
