metric,algorithm_a,algorithm_b,n,mean_a,mean_b,mean_diff,t_stat,t_pvalue,wilcoxon_pvalue
final_cost,MS,DMS,50,12346,11557,788.994,8.4308,4.22383e-11,7.94032e-13
final_cost,MS,DMS_split_at_1000,50,12346,10382.1,1963.92,40.1192,3.86672e-39,1.77636e-15
final_cost,MS,MS_split_0.5,50,12346,12332.3,13.6409,0.278382,0.78189,0.585207
final_cost,MS,MS_split_MGM_200,50,12346,10589.8,1756.14,36.3761,4.02854e-37,1.77636e-15
final_cost,MS,MS_split_opt_200,50,12346,10474.9,1871.02,42.6956,1.99041e-40,1.77636e-15
final_cost,MS,DMS_split_at_500,50,12346,10387.4,1958.53,39.4347,8.76511e-39,1.77636e-15
final_cost,MS,DMS_split_at_300,50,12346,10382.6,1963.35,38.3162,3.4372e-38,1.77636e-15
final_cost,MS,DMS_split_at_50,50,12346,10398.6,1947.35,37.8202,6.37627e-38,1.77636e-15
final_cost,MS,DMS_split_at_100,50,12346,10430.2,1915.82,36.5066,3.40083e-37,1.77636e-15
final_cost,MS,DMS_split_0.4_0.6,50,12346,10316.5,2029.46,44.8753,1.84191e-41,1.77636e-15
final_cost,MS,DMS_split_0.5,50,12346,10408.9,1937.1,40.4082,2.74787e-39,1.77636e-15
final_cost,MS,MS_split_MGM_inverted_200,50,12346,12092.9,253.098,5.07637,5.95032e-06,7.1116e-06
final_cost,DMS,DMS_split_at_1000,50,11557,10382.1,1174.92,12.6488,4.74982e-17,1.56319e-13
final_cost,DMS,MS_split_0.5,50,11557,12332.3,-775.353,-9.26495,2.38375e-12,5.45342e-13
final_cost,DMS,MS_split_MGM_200,50,11557,10589.8,967.145,12.0492,2.90767e-16,2.23999e-12
final_cost,DMS,MS_split_opt_200,50,11557,10474.9,1082.03,12.8755,2.42351e-17,9.52127e-13
final_cost,DMS,DMS_split_at_500,50,11557,10387.4,1169.54,13.1921,9.57176e-18,3.37508e-14
final_cost,DMS,DMS_split_at_300,50,11557,10382.6,1174.36,12.906,2.21464e-17,9.76996e-14
final_cost,DMS,DMS_split_at_50,50,11557,10398.6,1158.36,13.2118,9.03861e-18,7.63833e-14
final_cost,DMS,DMS_split_at_100,50,11557,10430.2,1126.82,12.6801,4.32672e-17,1.95399e-13
final_cost,DMS,DMS_split_0.4_0.6,50,11557,10316.5,1240.47,13.8007,1.66258e-18,1.24345e-14
final_cost,DMS,DMS_split_0.5,50,11557,10408.9,1148.1,11.9799,3.59604e-16,1.60583e-12
final_cost,DMS,MS_split_MGM_inverted_200,50,11557,12092.9,-535.896,-6.35417,6.64238e-08,1.40329e-07
final_cost,DMS_split_at_1000,MS_split_0.5,50,10382.1,12332.3,-1950.27,-41.0407,1.31147e-39,1.77636e-15
final_cost,DMS_split_at_1000,MS_split_MGM_200,50,10382.1,10589.8,-207.777,-5.4289,1.75086e-06,2.23104e-06
final_cost,DMS_split_at_1000,MS_split_opt_200,50,10382.1,10474.9,-92.8952,-2.66102,0.0105032,0.0336878
final_cost,DMS_split_at_1000,DMS_split_at_500,50,10382.1,10387.4,-5.38177,-0.154151,0.878124,0.870794
final_cost,DMS_split_at_1000,DMS_split_at_300,50,10382.1,10382.6,-0.560834,-0.0136771,0.989143,0.969474
final_cost,DMS_split_at_1000,DMS_split_at_50,50,10382.1,10398.6,-16.5609,-0.442895,0.659791,0.744896
final_cost,DMS_split_at_1000,DMS_split_at_100,50,10382.1,10430.2,-48.0992,-1.30135,0.199226,0.304481
final_cost,DMS_split_at_1000,DMS_split_0.4_0.6,50,10382.1,10316.5,65.5453,1.71398,0.0928525,0.066332
final_cost,DMS_split_at_1000,DMS_split_0.5,50,10382.1,10408.9,-26.8195,-0.82888,0.411192,0.357187
final_cost,DMS_split_at_1000,MS_split_MGM_inverted_200,50,10382.1,12092.9,-1710.82,-35.9976,6.60413e-37,1.77636e-15
final_cost,MS_split_0.5,MS_split_MGM_200,50,12332.3,10589.8,1742.5,42.9593,1.48348e-40,1.77636e-15
final_cost,MS_split_0.5,MS_split_opt_200,50,12332.3,10474.9,1857.38,49.3531,1.92413e-43,1.77636e-15
final_cost,MS_split_0.5,DMS_split_at_500,50,12332.3,10387.4,1944.89,48.9619,2.82024e-43,1.77636e-15
final_cost,MS_split_0.5,DMS_split_at_300,50,12332.3,10382.6,1949.71,42.1827,3.54397e-40,1.77636e-15
final_cost,MS_split_0.5,DMS_split_at_50,50,12332.3,10398.6,1933.71,37.6666,7.73302e-38,1.77636e-15
final_cost,MS_split_0.5,DMS_split_at_100,50,12332.3,10430.2,1902.18,39.8587,5.27132e-39,1.77636e-15
final_cost,MS_split_0.5,DMS_split_0.4_0.6,50,12332.3,10316.5,2015.82,46.1139,5.00086e-42,1.77636e-15
final_cost,MS_split_0.5,DMS_split_0.5,50,12332.3,10408.9,1923.46,43.5586,7.65264e-41,1.77636e-15
final_cost,MS_split_0.5,MS_split_MGM_inverted_200,50,12332.3,12092.9,239.457,6.07292,1.80678e-07,6.78355e-07
final_cost,MS_split_MGM_200,MS_split_opt_200,50,10589.8,10474.9,114.882,9.86338,3.17199e-13,1.63101e-09
final_cost,MS_split_MGM_200,DMS_split_at_500,50,10589.8,10387.4,202.395,6.41305,5.38509e-08,6.71004e-08
final_cost,MS_split_MGM_200,DMS_split_at_300,50,10589.8,10382.6,207.216,5.07099,6.06152e-06,6.01064e-06
final_cost,MS_split_MGM_200,DMS_split_at_50,50,10589.8,10398.6,191.216,5.05344,6.43881e-06,7.94697e-06
final_cost,MS_split_MGM_200,DMS_split_at_100,50,10589.8,10430.2,159.678,4.71937,2.01059e-05,1.36759e-05
final_cost,MS_split_MGM_200,DMS_split_0.4_0.6,50,10589.8,10316.5,273.322,8.11351,1.28187e-10,2.26017e-10
final_cost,MS_split_MGM_200,DMS_split_0.5,50,10589.8,10408.9,180.958,4.63296,2.68917e-05,6.20632e-05
final_cost,MS_split_MGM_200,MS_split_MGM_inverted_200,50,10589.8,12092.9,-1503.04,-39.489,8.20976e-39,1.77636e-15
final_cost,MS_split_opt_200,DMS_split_at_500,50,10474.9,10387.4,87.5134,2.75092,0.00830454,0.00613118
final_cost,MS_split_opt_200,DMS_split_at_300,50,10474.9,10382.6,92.3343,2.3443,0.0231606,0.0450275
final_cost,MS_split_opt_200,DMS_split_at_50,50,10474.9,10398.6,76.3343,2.08751,0.0420639,0.0248477
final_cost,MS_split_opt_200,DMS_split_at_100,50,10474.9,10430.2,44.796,1.31564,0.194419,0.22601
final_cost,MS_split_opt_200,DMS_split_0.4_0.6,50,10474.9,10316.5,158.44,4.78804,1.59385e-05,1.52072e-05
final_cost,MS_split_opt_200,DMS_split_0.5,50,10474.9,10408.9,66.0756,1.84971,0.0703906,0.10111
final_cost,MS_split_opt_200,MS_split_MGM_inverted_200,50,10474.9,12092.9,-1617.92,-42.3552,2.91674e-40,1.77636e-15
final_cost,DMS_split_at_500,DMS_split_at_300,50,10387.4,10382.6,4.82093,0.125572,0.900585,0.833278
final_cost,DMS_split_at_500,DMS_split_at_50,50,10387.4,10398.6,-11.1791,-0.27928,0.781206,0.977103
final_cost,DMS_split_at_500,DMS_split_at_100,50,10387.4,10430.2,-42.7174,-1.391,0.170509,0.165887
final_cost,DMS_split_at_500,DMS_split_0.4_0.6,50,10387.4,10316.5,70.927,2.15306,0.0362636,0.019067
final_cost,DMS_split_at_500,DMS_split_0.5,50,10387.4,10408.9,-21.4378,-0.598957,0.551961,0.639009
final_cost,DMS_split_at_500,MS_split_MGM_inverted_200,50,10387.4,12092.9,-1705.44,-41.6906,6.20201e-40,1.77636e-15
final_cost,DMS_split_at_300,DMS_split_at_50,50,10382.6,10398.6,-16,-0.384936,0.70195,0.954225
final_cost,DMS_split_at_300,DMS_split_at_100,50,10382.6,10430.2,-47.5384,-1.31273,0.195388,0.282293
final_cost,DMS_split_at_300,DMS_split_0.4_0.6,50,10382.6,10316.5,66.1061,1.79281,0.0791776,0.0320535
final_cost,DMS_split_at_300,DMS_split_0.5,50,10382.6,10408.9,-26.2587,-0.623755,0.535682,0.694746
final_cost,DMS_split_at_300,MS_split_MGM_inverted_200,50,10382.6,12092.9,-1710.26,-35.5194,1.24198e-36,1.77636e-15
final_cost,DMS_split_at_50,DMS_split_at_100,50,10398.6,10430.2,-31.5383,-0.9228,0.360633,0.197635
final_cost,DMS_split_at_50,DMS_split_0.4_0.6,50,10398.6,10316.5,82.1062,2.74054,0.00853487,0.0136869
final_cost,DMS_split_at_50,DMS_split_0.5,50,10398.6,10408.9,-10.2587,-0.306336,0.760647,0.50863
final_cost,DMS_split_at_50,MS_split_MGM_inverted_200,50,10398.6,12092.9,-1694.26,-34.1355,8.0838e-36,1.77636e-15
final_cost,DMS_split_at_100,DMS_split_0.4_0.6,50,10430.2,10316.5,113.644,3.7653,0.00044609,0.000415324
final_cost,DMS_split_at_100,DMS_split_0.5,50,10430.2,10408.9,21.2796,0.575384,0.567665,0.454788
final_cost,DMS_split_at_100,MS_split_MGM_inverted_200,50,10430.2,12092.9,-1662.72,-37.016,1.76533e-37,1.77636e-15
final_cost,DMS_split_0.4_0.6,DMS_split_0.5,50,10316.5,10408.9,-92.3648,-2.76301,0.00804375,0.0046061
final_cost,DMS_split_0.4_0.6,MS_split_MGM_inverted_200,50,10316.5,12092.9,-1776.36,-42.304,3.08993e-40,1.77636e-15
final_cost,DMS_split_0.5,MS_split_MGM_inverted_200,50,10408.9,12092.9,-1684,-35.2265,1.83577e-36,1.77636e-15
anytime_cost,MS,DMS,50,11391.4,10204,1187.36,40.9829,1.40264e-39,1.77636e-15
