algorithm,final_cost_mean,final_cost_std,n,anytime_cost_mean,anytime_cost_std
DMS_split_0.4_0.6,10316.5063,1265.9722,50,10239.2473,1256.4667
DMS_split_at_1000,10382.0516,1300.7772,50,10215.1286,1238.5852
DMS_split_at_300,10382.6124,1271.0417,50,10280.5302,1243.2097
DMS_split_at_500,10387.4334,1274.2314,50,10288.2685,1244.3766
DMS_split_at_50,10398.6125,1249.3898,50,10320.0716,1220.0175
DMS_split_0.5,10408.8711,1267.8443,50,10329.3315,1262.4584
DMS_split_at_100,10430.1508,1252.2443,50,10348.2681,1225.1834
MS_split_opt_200,10474.9468,1252.2581,50,10474.9468,1252.2581
MS_split_MGM_200,10589.8288,1242.1127,50,10589.8288,1242.1127
DMS,11556.9736,1548.2835,50,10204.0322,1227.6726
MS_split_0.5,12332.3264,1321.6422,50,11377.6515,1295.4891
MS,12345.9673,1396.0570,50,11391.3921,1287.5397
