seed,csv_final,trunc_final,float_final,trunc_best,float_best
0,97895.2854,101724.24879910111,98012.2441223322,98089.27940301466,98012.2441223322
1,97828.2281,97737.23686753178,97714.23627507471,97632.2258467415,97714.23627507471
2,98796.2856,98889.21827156804,98645.22974006044,98737.23381280074,98637.23561820717
3,100831.2469,100762.2655213211,100844.21933104789,100762.2655213211,100686.24636955374
4,94802.2666,94944.23224587283,94946.2927121686,94806.26493434432,94946.2927121686
5,100586.2497,100472.24266515944,100596.25026803146,100472.24266515944,100596.25026803146
6,97836.2668,98258.26569601039,97979.24744240516,98113.2517008153,97979.24744240516
7,102470.2518,108927.23825087067,102648.2486903554,102431.27087332236,102586.27613652434
8,100367.2713,100558.2651755015,106085.26263951644,100046.25176991796,100046.25176991796
9,99628.2709,100083.25423561946,99570.24658051772,99847.23630782464,99570.24658051772
10,97793.2452,102723.23186060094,98132.25690721553,97994.23284474916,97994.23284474916
11,98599.2196,101155.26218858514,98370.21103760872,98372.1992589081,98370.21103760872
12,97206.2431,97206.24313591156,97206.24313591156,97206.24313591156,97206.24313591156
13,102540.2349,102693.24298723658,102546.23195852152,102693.24298723658,102546.23195852152
14,102479.2485,102479.24848174083,103150.243366122,102479.24848174083,102695.2434455768
15,97060.2503,97428.26407320402,96892.256856755,97428.26407320402,96892.256856755
16,99972.28,100066.24715329534,99592.23350671465,99909.26561421122,99592.23350671465
17,102238.2319,102501.22551641341,102273.24952140743,102501.22551641341,102273.24952140743
18,98698.2525,98726.25716002683,98771.2607626822,98726.25716002683,98771.2607626822
19,106042.2471,106021.25287144292,106111.25145327422,106021.25287144292,105861.24620202821
20,97511.2525,97626.23128514149,97706.26784777467,97457.22898926775,97447.2384273228
21,97830.2184,97790.23730472478,97641.25718536065,97790.23730472478,97641.25718536065
22,99988.2252,99836.24882586642,99946.22133381167,99836.24882586642,99501.21798571605
23,100314.2693,100100.26652494792,100100.26652494792,100100.26652494792,100100.26652494792
24,98477.2309,102272.21977909541,98290.21643405267,98353.23441416949,98290.21643405267
25,101504.277,101823.22849478059,102917.26487998062,101823.22849478059,101441.27322772796
26,102400.2303,102400.23029596133,102290.21984653133,102400.23029596133,102290.21984653133
27,94337.2527,100053.26073786258,94890.28335448804,94336.27219312087,94336.27219312087
28,100119.2596,99914.25914174762,99934.27869197335,99914.25914174762,99934.27869197335
29,98606.2567,98690.22343263603,101177.2529748164,98690.22343263603,98753.25719254113
30,97681.2729,100870.23996935585,97455.2769357554,97436.2372458813,97455.2769357554
31,97887.2257,97597.25718650302,97597.25718650302,97597.25718650302,97597.25718650302
32,102463.2344,98856.25123572248,103209.26094032679,98856.25123572248,98834.24732628159
33,98126.254,98046.26642520708,97897.28085246203,98046.26642520708,97897.28085246203
34,98555.253,94992.24611310715,94674.26612173066,94992.24611310715,94674.26612173066
35,101536.2555,101681.25352379985,102168.23219102269,101681.25352379985,101669.25395965025
36,97308.2256,97539.2637048652,97448.26707376813,97539.2637048652,97448.26707376813
37,100011.2632,100033.23252092594,100385.21806540673,100033.23252092594,100120.2402521094
38,96024.2347,95682.2204439059,95812.24622950023,95682.2204439059,95798.21636292973
39,100718.2521,101271.22714007497,100986.24762968239,100766.24275195775,100936.25565471395
40,104023.2335,103953.24973708815,103701.25062078418,103953.24973708815,103623.25179612514
41,96331.2455,96331.24552186542,96331.24552186542,96331.24552186542,96331.24552186542
42,97476.2645,97476.26454482043,96874.25916663978,97476.26454482043,96874.25916663978
43,102144.273,102328.27005411354,102010.26771634063,101459.22976537449,101459.22976537449
44,99415.2253,99415.22525781923,101377.28163122373,99415.22525781923,99529.27715849463
45,99746.2596,98081.28548713683,98081.28548713683,98081.28548713683,98081.28548713683
46,98778.2212,98726.24351796565,98517.20483423052,98548.24532948395,98517.20483423052
47,98607.2525,98700.23517830389,98732.28548356175,98489.24609876073,98732.28548356175
48,103660.2585,97603.24029932499,97509.30987919356,97603.24029932499,97509.30987919356
49,102613.2585,103004.24241255732,102995.24947425521,103004.24241255732,102805.24655928942
