period,freeze,final_commit,cost_x,cost_y,cost2_half,flip,edges_class0,cost_class0,edges_class1,cost_class1,edges_class2,cost_class2,x_is_br_of_y,y_is_br_of_x,single_moves_x,single_moves_y,greedy_from_x,cost_greedy_class2,t_commit99,br_steps,cost2_increases,family,density,seed,alg,edges,cost_rephased_min,rephased_single_moves
2,1000,0.41,6078.262503169234,6207.267056529602,5311.764779849418,0.4,0.48,103.54166666666669,0.14,108.85714285714286,0.38,149.0,1.0,1.0,20,20,5347.268327013424,110.3157894736842,1000,,-1,bipartite,0.05,0,MS_split,50,5308.248788830895,0
1,43,0.41,5298.282737680709,5298.282737680709,5298.282737680709,0.0,1.0,105.96,0.0,,0.0,,1.0,1.0,0,0,5298.282737680709,,1000,,-1,bipartite,0.05,0,DMS_split,50,5298.282737680709,0
2,1000,0.41,6329.230069384299,6651.250657675199,5310.740363529749,0.58,0.32,103.6875,0.16,108.25,0.52,146.30769230769232,1.0,1.0,29,29,5281.233617743531,107.23076923076924,1000,,-1,bipartite,0.05,1,MS_split,50,5279.2307430043,0
1,22,0.41,5273.228449855903,5273.228449855903,5273.228449855903,0.0,1.0,105.46,0.0,,0.0,,1.0,1.0,0,0,5273.228449855903,,1000,,-1,bipartite,0.05,1,DMS_split,50,5273.228449855903,0
2,1000,0.45,6286.232470696355,6151.2627185529145,5315.247594624635,0.5,0.46,105.8695652173913,0.06,101.0,0.48,147.83333333333334,1.0,1.0,25,25,5382.257109041146,109.5,1000,,-1,bipartite,0.05,2,MS_split,50,5315.227678409954,0
1,33,0.5,5297.2528560097935,5297.2528560097935,5297.2528560097935,0.0,1.0,105.94,0.0,,0.0,,1.0,1.0,0,0,5297.2528560097935,,1000,,-1,bipartite,0.05,2,DMS_split,50,5297.2528560097935,0
2,1000,0.3,5866.257969606342,5871.265743601412,5314.761856603877,0.28,0.62,105.09677419354838,0.14,117.0,0.24,149.08333333333334,1.0,1.0,14,14,5303.254664376919,108.5,1000,,-1,bipartite,0.05,3,MS_split,50,5300.263582492017,0
1,46,0.44,5274.267854671454,5274.267854671454,5274.267854671454,0.0,1.0,105.48,0.0,,0.0,,1.0,1.0,0,0,5274.267854671454,,1000,,-1,bipartite,0.05,3,DMS_split,50,5274.267854671454,0
2,1000,0.4285714285714285,6306.2629932981845,6276.253903289182,5170.258448293684,0.48,0.4081632653061224,102.9,0.1428571428571428,108.71428571428572,0.4489795918367347,158.5,1.0,1.0,24,24,5235.273799839016,110.22727272727272,1000,,-1,bipartite,0.05,4,MS_split,49,5161.250573744697,0
1,30,0.4081632653061224,5151.268117369994,5151.268117369994,5151.268117369994,0.0,1.0,105.12244897959184,0.0,,0.0,,1.0,1.0,0,0,5151.268117369994,,1000,,-1,bipartite,0.05,4,DMS_split,49,5151.268117369994,0
2,1000,0.5185185185185185,6393.233509838552,6333.2290188281395,5756.231264333346,0.4,0.5,106.22222222222224,0.2037037037037037,109.36363636363636,0.2962962962962963,145.125,1.0,1.0,20,20,5791.2346351217575,106.4375,1000,,-1,bipartite,0.05,5,MS_split,54,5738.223535927454,0
1,35,0.4629629629629629,5774.23895382589,5774.23895382589,5774.23895382589,0.0,1.0,106.92592592592592,0.0,,0.0,,1.0,1.0,0,0,5774.23895382589,,1000,,-1,bipartite,0.05,5,DMS_split,54,5774.23895382589,0
2,1000,0.3775510204081632,5407.217481556151,5401.209431626162,5164.7134565911565,0.12,0.8571428571428571,104.76190476190476,0.0612244897959183,114.0,0.0816326530612244,166.25,1.0,1.0,6,6,5161.211403338786,110.5,1000,,-1,bipartite,0.05,6,MS_split,49,5156.217106363391,0
1,13,0.3877551020408163,5156.217106363391,5156.217106363391,5156.217106363391,0.0,1.0,105.22448979591836,0.0,,0.0,,1.0,1.0,0,0,5156.217106363391,,1000,,-1,bipartite,0.05,6,DMS_split,49,5156.217106363391,0
2,1000,0.47,5584.240831534464,5727.242547588954,5319.241689561709,0.2,0.78,105.6153846153846,0.06,114.0,0.16,140.375,1.0,1.0,10,10,5321.240821349641,107.75,1000,,-1,bipartite,0.05,7,MS_split,50,5317.242557773777,0
1,20,0.48,5317.2411322756225,5317.2411322756225,5317.2411322756225,0.0,1.0,106.34,0.0,,0.0,,1.0,1.0,0,0,5317.2411322756225,,1000,,-1,bipartite,0.05,7,DMS_split,50,5317.2411322756225,0
2,1000,0.4285714285714285,6448.282968070347,6531.263668810802,5204.273318440575,0.52,0.4081632653061224,102.55,0.0816326530612244,122.0,0.5102040816326531,156.36,1.0,1.0,26,26,5234.2617101583155,107.8,1000,,-1,bipartite,0.05,8,MS_split,49,5174.2855683118105,0
1,15,0.4387755102040816,5174.2855683118105,5174.2855683118105,5174.2855683118105,0.0,1.0,105.59183673469389,0.0,,0.0,,1.0,1.0,0,0,5174.2855683118105,,1000,,-1,bipartite,0.05,8,DMS_split,49,5174.2855683118105,0
2,1000,0.4285714285714285,6501.245625416614,6982.235837843656,5224.740731630134,0.7,0.1428571428571428,102.57142857142856,0.1632653061224489,105.75,0.6938775510204082,145.2058823529412,1.0,1.0,35,35,5346.254310827856,111.97058823529412,1000,,-1,bipartite,0.05,9,MS_split,49,5216.229863571446,0
1,33,0.4387755102040816,5207.244513675899,5207.244513675899,5207.244513675899,0.0,1.0,106.26530612244898,0.0,,0.0,,1.0,1.0,0,0,5207.244513675899,,1000,,-1,bipartite,0.05,9,DMS_split,49,5207.244513675899,0
2,1000,0.4489795918367347,5232.239562145922,5227.243456563528,5132.241509354724,0.06,0.9387755102040816,104.6304347826087,0.0204081632653061,102.0,0.0408163265306122,158.5,1.0,1.0,3,3,5135.239937115885,104.5,1000,,-1,bipartite,0.05,10,MS_split,49,5129.243081593564,0
1,16,0.4489795918367347,5129.243081593564,5129.243081593564,5129.243081593564,0.0,1.0,104.6734693877551,0.0,,0.0,,1.0,1.0,0,0,5129.243081593564,,1000,,-1,bipartite,0.05,10,DMS_split,49,5129.243081593564,0
2,1000,0.4811320754716981,6737.247124402158,6787.239978836408,5635.243551619283,0.48,0.4150943396226415,103.4090909090909,0.1509433962264151,108.0,0.4339622641509434,156.43478260869566,1.0,1.0,24,24,5705.255532609027,109.3913043478261,1000,,-1,bipartite,0.05,11,MS_split,53,5634.2358574253385,0
1,40,0.4716981132075472,5634.2358574253385,5634.2358574253385,5634.2358574253385,0.0,1.0,106.30188679245283,0.0,,0.0,,1.0,1.0,0,0,5634.2358574253385,,1000,,-1,bipartite,0.05,11,DMS_split,53,5634.2358574253385,0
2,1000,0.35,5674.278903036827,5695.274324390989,5267.276613713908,0.24,0.7,105.02857142857142,0.08,103.5,0.22,144.0,1.0,1.0,12,12,5348.291068408598,114.36363636363636,1000,,-1,bipartite,0.05,12,MS_split,50,5260.264599035164,0
1,25,0.39,5274.288628392651,5274.288628392651,5274.288628392651,0.0,1.0,105.48,0.0,,0.0,,1.0,1.0,0,0,5274.288628392651,,1000,,-1,bipartite,0.05,12,DMS_split,50,5274.288628392651,0
