bench,seed,name,cost,single,edge,path_improving,path_sampled,greedy_cost,greedy_moves
random_dense,0,DMS,98012.2441223322,0,0,0,819,98012.2441223322,0
random_dense,0,DMS_split,98762.29702080572,0,0,0,759,98762.29702080572,0
random_dense,0,MS_split,106198.2736671085,41,650,737,788,98874.24855603579,42
random_dense,0,split_at_50,98293.26767730057,0,0,0,782,98293.26767730057,0
random_dense,0,split_at_100,98073.29073213799,0,0,0,794,98073.29073213799,0
random_dense,0,split_at_300,98185.25762857607,0,0,0,790,98185.25762857607,0
random_dense,0,split_at_500,98012.2441223322,0,0,0,828,98012.2441223322,0
random_dense,0,split_at_1000,98012.2441223322,0,0,0,760,98012.2441223322,0
random_dense,0,split_at_1500,98012.2441223322,0,0,0,811,98012.2441223322,0
random_dense,0,DMS_at_50,105224.23566420423,31,548,681,838,98281.26203083486,69
random_dense,0,DMS_at_100,98531.28168936116,4,23,3,796,98342.27791822591,6
random_dense,0,DMS_at_300,101934.24393136178,25,388,411,804,98701.26255359894,37
random_dense,0,DMS_at_500,98012.2441223322,0,0,0,813,98012.2441223322,0
random_dense,0,DMS_at_1000,98012.2441223322,0,0,0,786,98012.2441223322,0
random_dense,0,DMS_at_1500,98012.2441223322,0,0,0,828,98012.2441223322,0
random_dense,0,random_start_0,108477.29440256738,47,718,823,823,98308.2569992662,74
random_dense,0,random_start_1,107569.25583611819,41,691,751,763,98774.27829085362,57
random_dense,0,random_start_2,109806.29200837112,45,707,748,751,99799.26969773954,49
random_dense,0,random_start_3,108622.29558295086,45,704,793,796,99146.28346093238,72
random_dense,0,random_start_4,107589.24504263191,43,685,762,773,98884.23836533359,81
random_dense,1,DMS,97714.23627507471,0,0,0,787,97714.23627507471,0
random_dense,1,DMS_split,98486.23504667022,0,0,0,816,98486.23504667022,0
random_dense,1,MS_split,105056.26093544526,37,570,667,750,98336.24368124941,37
random_dense,1,split_at_50,97714.23627507471,0,0,0,776,97714.23627507471,0
random_dense,1,split_at_100,97714.23627507471,0,0,0,776,97714.23627507471,0
random_dense,1,split_at_300,97714.23627507471,0,0,0,790,97714.23627507471,0
random_dense,1,split_at_500,97714.23627507471,0,0,0,810,97714.23627507471,0
random_dense,1,split_at_1000,97714.23627507471,0,0,0,801,97714.23627507471,0
random_dense,1,split_at_1500,97714.23627507471,0,0,0,806,97714.23627507471,0
random_dense,1,DMS_at_50,99593.25089188566,10,166,137,781,97939.24096551075,18
random_dense,1,DMS_at_100,97714.23627507471,0,0,0,806,97714.23627507471,0
random_dense,1,DMS_at_300,97714.23627507471,0,0,0,793,97714.23627507471,0
random_dense,1,DMS_at_500,97714.23627507471,0,0,0,845,97714.23627507471,0
random_dense,1,DMS_at_1000,97714.23627507471,0,0,0,800,97714.23627507471,0
random_dense,1,DMS_at_1500,97714.23627507471,0,0,0,812,97714.23627507471,0
random_dense,1,random_start_0,109972.23983367627,47,725,831,831,98368.25467969594,72
random_dense,1,random_start_1,109953.26091414338,48,721,774,774,99357.2550531476,61
random_dense,1,random_start_2,107468.2550297625,40,679,793,815,99157.23196008045,55
random_dense,1,random_start_3,108306.23500154864,43,691,767,781,99445.27209792468,60
random_dense,1,random_start_4,108458.27119145493,45,704,817,821,98837.24868188998,68
random_dense,2,DMS,98645.22974006044,0,0,0,831,98645.22974006044,0
random_dense,2,DMS_split,99404.2514558418,0,0,0,828,99404.2514558418,0
random_dense,2,MS_split,106246.25232583813,38,610,726,807,99565.25578964384,44
random_dense,2,split_at_50,99597.23508198178,0,0,0,806,99597.23508198178,0
random_dense,2,split_at_100,99006.25364989608,0,0,0,779,99006.25364989608,0
random_dense,2,split_at_300,99085.25281950623,0,0,0,820,99085.25281950623,0
random_dense,2,split_at_500,98778.25199651833,0,0,0,797,98778.25199651833,0
random_dense,2,split_at_1000,98645.22974006044,0,0,0,847,98645.22974006044,0
random_dense,2,split_at_1500,98645.22974006044,0,0,0,831,98645.22974006044,0
random_dense,2,DMS_at_50,101142.24792310812,14,149,134,818,99746.23293218653,12
random_dense,2,DMS_at_100,103810.26584014145,29,455,557,827,98990.2462300798,37
random_dense,2,DMS_at_300,102940.27497337974,22,367,362,829,99105.25739982094,25
random_dense,2,DMS_at_500,99997.25236703825,9,100,84,843,98806.2505238693,6
random_dense,2,DMS_at_1000,98645.22974006044,0,0,0,838,98645.22974006044,0
random_dense,2,DMS_at_1500,98645.22974006044,0,0,0,850,98645.22974006044,0
random_dense,2,random_start_0,109260.23696509885,46,723,788,790,99930.19453499472,69
random_dense,2,random_start_1,109264.27287658905,46,710,848,850,99293.22773491935,88
random_dense,2,random_start_2,110239.25290929146,48,727,842,842,100005.24786100847,58
random_dense,2,random_start_3,108252.24368335557,42,674,797,820,99613.2240307143,77
random_dense,2,random_start_4,108948.22891294281,46,719,841,844,100193.24492280792,69
random_dense,3,DMS,100844.21933104789,0,0,0,810,100844.21933104789,0
random_dense,3,DMS_split,101667.2347297892,0,0,0,779,101667.2347297892,0
random_dense,3,MS_split,108229.24288507586,37,646,687,754,101490.22877894789,42
random_dense,3,split_at_50,101176.21377021763,0,0,0,782,101176.21377021763,0
random_dense,3,split_at_100,100885.21607067245,0,0,0,767,100885.21607067245,0
random_dense,3,split_at_300,101218.23247688444,0,0,0,766,101218.23247688444,0
random_dense,3,split_at_500,100686.24636955374,0,0,0,810,100686.24636955374,0
random_dense,3,split_at_1000,101356.27632629516,0,0,0,823,101356.27632629516,0
random_dense,3,split_at_1500,101267.2316346296,0,0,0,742,101267.2316346296,0
random_dense,3,DMS_at_50,102289.21769582357,7,75,57,754,101176.21377021763,13
random_dense,3,DMS_at_100,102520.24135000582,9,143,120,746,101045.24580883363,17
random_dense,3,DMS_at_300,102264.2223169602,11,114,62,736,101159.22336235875,8
random_dense,3,DMS_at_500,100803.23742252836,3,7,0,760,100686.24636955374,2
random_dense,3,DMS_at_1000,101464.267389503,2,7,1,786,101385.25908270657,1
random_dense,3,DMS_at_1500,103450.25638189216,14,146,116,749,101190.21141978365,32
random_dense,3,random_start_0,111691.25041510133,43,722,802,810,102168.24398172117,66
random_dense,3,random_start_1,112259.27226889429,46,738,792,794,102325.2444445537,77
random_dense,3,random_start_2,112322.27122945174,46,733,775,780,102659.23349607796,71
