bench,seed,split,lam,freeze,t95,final_commit,final,best,period
random_dense,0,False,0.0,2000,2000,0.45798898071625344,107473.2826697423,103272.25017752183,0
random_dense,0,False,0.2,2000,2000,0.3133608815426997,106579.26682976526,99287.28766206653,0
random_dense,0,False,0.4,2000,2000,0.5151515151515151,100779.27473393371,98149.28689037974,0
random_dense,0,False,0.5,2000,2000,0.39807162534435264,102487.25337533146,97957.2431899079,0
random_dense,0,False,0.6,979,2000,0.9022038567493113,97938.26109035694,97938.26109035694,1
random_dense,0,False,0.7,590,2000,0.7933884297520661,97987.26320890176,97987.26320890176,1
random_dense,0,False,0.8,327,2000,0.859504132231405,98055.25966048802,98055.25966048802,1
random_dense,0,False,0.9,484,2000,0.9269972451790633,98012.2441223322,98012.2441223322,1
random_dense,0,False,0.95,2000,2000,0.5241046831955923,99577.27893011164,98027.27351544224,0
random_dense,0,False,0.98,1999,2000,0.49586776859504134,99722.25748813724,98165.27310473536,0
random_dense,0,True,0.0,2000,23,0.9290633608815427,106198.2736671085,104813.24184538522,2
random_dense,0,True,0.2,43,44,0.9449035812672176,98425.26671144193,98425.26671144193,1
random_dense,0,True,0.4,13,2000,0.9373278236914601,98574.29683246085,98574.29683246085,1
random_dense,0,True,0.5,27,28,0.9758953168044077,98681.26581145002,98681.26581145002,1
random_dense,0,True,0.6,34,44,0.9504132231404959,98415.27081700688,98415.27081700688,1
random_dense,0,True,0.7,24,29,0.9559228650137741,98543.30021115782,98543.30021115782,1
random_dense,0,True,0.8,20,2000,0.8980716253443526,98878.29914241614,98878.29914241614,1
random_dense,0,True,0.9,35,49,0.9573002754820936,98762.29702080572,98762.29702080572,1
random_dense,0,True,0.95,208,242,0.9696969696969697,98948.26893270278,98948.26893270278,1
random_dense,0,True,0.98,128,156,0.9655647382920111,98872.2602643081,98872.2602643081,1
random_dense,1,False,0.0,2000,2000,0.4807162534435262,105556.25900056896,103315.23396621685,0
random_dense,1,False,0.2,2000,2000,0.35881542699724517,105800.21640881534,99154.23949616539,0
random_dense,1,False,0.4,2000,2000,0.8133608815426997,97708.23758487492,97632.2258467415,0
random_dense,1,False,0.5,495,2000,0.8767217630853994,97714.23627507471,97714.23627507471,1
random_dense,1,False,0.6,240,2000,0.8767217630853994,97714.23627507471,97714.23627507471,1
random_dense,1,False,0.7,331,2000,0.8767217630853994,97714.23627507471,97714.23627507471,1
random_dense,1,False,0.8,52,2000,0.8767217630853994,97714.23627507471,97714.23627507471,1
