seed,csv_final,trunc_final,float_final,trunc_best,float_best
0,17089.2302,17072.27292414893,17089.230157574068,17072.27292414893,17089.230157574068
1,13933.2536,13743.24826358484,14355.243848624197,13669.272195947398,13669.272195947398
2,13050.2383,13050.23829344256,13050.23829344256,13050.23829344256,13050.23829344256
3,14415.2605,14415.260476875103,14415.260476875103,14415.260476875103,14415.260476875103
4,14866.2371,14866.237110586739,14866.237110586739,14866.237110586739,14866.237110586739
5,15737.2684,15737.26836013885,15737.26836013885,15737.26836013885,15737.26836013885
6,15629.2498,15800.240104186141,17827.258786623563,15635.249022788279,15635.249022788279
7,17334.2611,17261.250254558807,16700.26445291869,15876.270966662063,15753.230944815354
8,13830.2416,13456.210050410278,13116.257327452382,12221.21406714136,12221.21406714136
9,19318.2311,18246.254959354974,20253.243111223248,17950.2722695874,17950.2722695874
10,14963.2249,15004.251269516268,16032.217612050013,14974.246593355107,14973.216464015593
11,14385.2226,14534.218946295252,14364.224397390133,14302.23481790239,14302.23481790239
12,12422.2444,12422.244433377842,12422.244433377842,12422.244433377842,12422.244433377842
13,15175.2859,14831.218718453865,13481.274757260015,13481.274757260015,13481.274757260015
14,14885.2566,14352.268147806797,15546.227818524543,14341.230124548296,14341.230124548296
15,14225.2607,13265.27272418293,12967.253657544954,12910.28262448715,12910.28262448715
16,16030.2656,15631.244068372389,15631.244068372389,15631.244068372389,15631.244068372389
17,13204.2129,13199.220073123355,14326.220470951052,13199.220073123355,13199.220073123355
18,15217.2177,13076.22586628662,13076.22586628662,13076.22586628662,13076.22586628662
19,12505.2639,12520.257702522513,12520.257702522513,12520.257702522513,12520.257702522513
20,16090.2828,16090.282846211408,16090.282846211408,16090.282846211408,16090.282846211408
21,14198.2528,14485.250987280991,13484.274777898272,12957.237640642497,12882.239700452099
22,15735.2664,15223.262177568085,15605.25060330356,14800.26120530269,14802.249329643422
23,15146.2388,15146.238780022399,15147.25484431489,15146.238780022399,15147.25484431489
24,15546.218,14247.239723370187,15507.240569965501,13708.247481036367,13708.247481036367
25,15381.2761,15381.27606154882,15381.27606154882,15381.27606154882,15381.27606154882
26,18637.2519,17456.231608039117,16637.261911785816,16466.25637299379,16359.269761364572
27,13098.2784,13098.278396939986,13131.276252762396,13098.278396939986,13131.276252762396
28,14225.2366,14482.245679906795,13351.29198933138,12908.270306410002,12908.270306410002
29,15744.2539,15239.242896454225,15828.236892717443,14690.229014236476,14628.22255593334
30,16814.2622,15391.245227677595,15384.25999722616,15391.245227677595,15384.25999722616
31,15026.2699,14063.245416484437,15703.250935270962,13906.273548462188,13906.273548462188
32,15818.2444,15278.251405666833,15326.250597903885,15278.251405666833,15326.250597903885
33,14692.2463,14169.230309904036,16025.230188625588,13974.221587133958,13974.221587133958
34,12668.2403,12107.245932790245,12608.228633796156,11474.246875405524,11480.248550219001
35,16451.2421,16451.242077148276,16453.262695148092,16451.242077148276,16453.262695148092
36,13587.2386,13587.238637103937,13587.238637103937,13587.238637103937,13587.238637103937
37,14025.2682,14864.215506697927,13987.232798778194,13999.217679087917,13987.232798778194
38,15149.2542,15646.208999802744,16105.241565491844,14594.24956239332,14641.249727631475
39,15342.1967,16220.242755392042,17035.247776219632,15317.249108901295,15332.24537416224
40,15817.225,17240.22867516946,16394.22768944446,15748.220217802733,15862.245867501562
41,12182.2609,12182.260913581797,13282.265728544617,12182.260913581797,12280.26667351899
42,14618.2139,14382.22209233007,14333.251661774237,14012.240148977087,14052.21364216595
43,15687.2376,16016.231904333303,15360.252471148468,15364.22052164141,15350.221269389212
44,17191.2552,17209.25436864949,17209.25436864949,17209.25436864949,17209.25436864949
45,15706.2532,17740.26228228847,15721.251724787517,15739.218191481617,15721.251724787517
46,15833.2258,14282.246543950088,15206.261819879848,13986.24956067681,14000.252171180357
47,15842.2392,15907.234173540746,15520.231244070637,15261.267915462939,15172.228416695725
48,14447.2482,14095.202672593377,13603.236038749716,13424.225205269458,13410.225305195952
49,16095.2324,15885.244242089173,15957.235871681312,15820.238578396005,15820.238578396005
