period,freeze,final_commit,cost_x,cost_y,cost2_half,flip,edges_class0,cost_class0,edges_class1,cost_class1,edges_class2,cost_class2,x_is_br_of_y,y_is_br_of_x,single_moves_x,single_moves_y,greedy_from_x,cost_greedy_class2,t_commit99,br_steps,cost2_increases,family,density,seed,alg,edges
2,1000,0.5483870967741935,7026.226492460185,6956.227747995256,6656.227120227721,0.14,0.8387096774193549,106.3846153846154,0.064516129032258,116.25,0.0967741935483871,171.5,1.0,1.0,7,7,6647.238112258696,103.33333333333331,1000,,-1,random,0.05,0,MS_split,62
1,31,0.4919354838709677,6663.25318079645,6663.25318079645,6663.25318079645,0.0,1.0,107.46774193548389,0.0,,0.0,,1.0,1.0,0,0,6663.25318079645,,1000,,-1,random,0.05,0,DMS_split,62
2,1000,0.5158730158730159,8317.25217577779,8400.27307282857,6839.262624303179,0.6,0.2539682539682539,106.4375,0.2222222222222222,106.07142857142856,0.5238095238095238,155.42424242424244,1.0,1.0,30,30,7028.2441283356675,113.33333333333331,1000,,-1,random,0.05,1,MS_split,63
1,24,0.4682539682539682,6856.2389870005045,6856.2389870005045,6856.2389870005045,0.0,1.0,108.82539682539682,0.0,,0.0,,1.0,1.0,0,0,6856.2389870005045,,1000,,-1,random,0.05,1,DMS_split,63
2,1000,0.4672131147540984,7301.267241546911,7371.22946015556,6682.748350851235,0.34,0.6065573770491803,109.48648648648648,0.1475409836065573,112.0,0.2459016393442623,149.46666666666667,1.0,1.0,17,17,6686.249145690238,108.46666666666668,1000,,-1,random,0.05,2,MS_split,61
1,63,0.4426229508196721,6651.255222211001,6651.255222211001,6651.255222211001,0.0,1.0,109.0327868852459,0.0,,0.0,,1.0,1.0,0,0,6651.255222211001,,1000,,-1,random,0.05,2,DMS_split,61
2,1000,0.4838709677419355,8381.221518840153,8278.26337266942,6708.742445754787,0.68,0.1935483870967742,104.33333333333331,0.1774193548387097,113.72727272727272,0.6290322580645161,150.71794871794873,1.0,1.0,34,34,6807.219789030851,112.28205128205128,1000,,-1,random,0.05,3,MS_split,62
1,27,0.5161290322580645,6695.250886380797,6695.250886380797,6695.250886380797,0.0,1.0,107.98387096774194,0.0,,0.0,,1.0,1.0,0,0,6695.250886380797,,1000,,-1,random,0.05,3,DMS_split,62
2,1000,0.4152542372881356,8022.268719926729,7808.264873462918,6442.266796694824,0.54,0.3220338983050847,106.3157894736842,0.1186440677966101,118.57142857142856,0.559322033898305,156.72727272727272,1.0,1.0,27,27,6555.26565461939,112.21212121212122,1000,,-1,random,0.05,4,MS_split,59
0,1000,0.4322033898305085,6441.261776261394,6441.261776261394,6441.261776261394,0.0,1.0,109.16949152542372,0.0,,0.0,,1.0,1.0,0,0,6441.261776261394,,1000,,-1,random,0.05,4,DMS_split,59
2,1000,0.689873417721519,9551.267937717848,9360.262161956623,8868.765049837235,0.24,0.6835443037974683,111.96296296296296,0.1518987341772152,121.91666666666669,0.1645569620253164,157.07692307692307,1.0,1.0,12,12,8940.26442074727,115.15384615384616,1000,,-1,random,0.05,5,MS_split,79
1,65,0.6645569620253164,8879.275612592277,8879.275612592277,8879.275612592277,0.0,1.0,112.39240506329114,0.0,,0.0,,1.0,1.0,0,0,8879.275612592277,,1000,,-1,random,0.05,5,DMS_split,79
2,1000,0.4727272727272727,7037.3008793186955,7120.310662160813,5874.805770739754,0.5,0.3818181818181818,103.9047619047619,0.1818181818181818,115.7,0.4363636363636363,154.08333333333334,1.0,1.0,25,25,5964.31547357177,110.20833333333331,1000,,-1,random,0.05,6,MS_split,55
1,20,0.5181818181818182,5850.296225456861,5850.296225456861,5850.296225456861,0.0,1.0,106.36363636363636,0.0,,0.0,,1.0,1.0,0,0,5850.296225456861,,1000,,-1,random,0.05,6,DMS_split,55
2,1000,0.5,7703.224644857648,7789.224540074574,6660.724592466111,0.5,0.3770491803278688,107.1304347826087,0.1967213114754098,110.91666666666669,0.4262295081967213,150.30769230769232,1.0,1.0,25,25,6771.2671399852,110.15384615384616,1000,,-1,random,0.05,7,MS_split,61
1,17,0.6229508196721312,6600.222604881972,6600.222604881972,6600.222604881972,0.0,1.0,108.1967213114754,0.0,,0.0,,1.0,1.0,0,0,6600.222604881972,,1000,,-1,random,0.05,7,DMS_split,61
2,1000,0.4736842105263157,7253.258473327285,7479.251837833371,6256.755155580328,0.56,0.2807017543859649,107.75,0.2631578947368421,108.66666666666669,0.4561403508771929,149.96153846153845,1.0,1.0,28,28,6282.263670000794,109.73076923076924,1000,,-1,random,0.05,8,MS_split,57
1,79,0.4473684210526316,6207.2637359405235,6207.2637359405235,6207.2637359405235,0.0,1.0,108.89473684210526,0.0,,0.0,,1.0,1.0,0,0,6207.2637359405235,,1000,,-1,random,0.05,8,DMS_split,57
2,1000,0.5,7306.262705272649,7052.245882124565,6238.254293698607,0.4,0.5862068965517241,108.05882352941175,0.1034482758620689,107.5,0.3103448275862069,165.94444444444446,1.0,1.0,20,20,6275.255834803004,109.38888888888889,1000,,-1,random,0.05,9,MS_split,58
1,41,0.5517241379310345,6234.233177814961,6234.233177814961,6234.233177814961,0.0,1.0,107.48275862068964,0.0,,0.0,,1.0,1.0,0,0,6234.233177814961,,1000,,-1,random,0.05,9,DMS_split,58
2,1000,0.5373134328358209,8056.241209622267,8140.248095533492,7341.24465257788,0.4,0.5373134328358209,108.58333333333331,0.1791044776119403,112.5,0.2835820895522388,147.21052631578948,1.0,1.0,20,20,7366.2350924461825,107.42105263157896,1000,,-1,random,0.05,10,MS_split,67
1,30,0.5074626865671642,7353.24743974122,7353.24743974122,7353.24743974122,0.0,1.0,109.74626865671642,0.0,,0.0,,1.0,1.0,0,0,7353.24743974122,,1000,,-1,random,0.05,10,DMS_split,67
2,1000,0.6231884057971014,9384.243401100191,9486.245760053796,7636.244580576993,0.72,0.1594202898550724,105.1818181818182,0.1594202898550724,115.0,0.6811594202898551,148.12765957446808,1.0,1.0,36,36,7758.249024204911,113.93617021276596,1000,,-1,random,0.05,11,MS_split,69
1,644,0.5942028985507246,7621.242474785051,7621.242474785051,7621.242474785051,0.0,1.0,110.44927536231884,0.0,,0.0,,1.0,1.0,0,0,7621.242474785051,,1000,,-1,random,0.05,11,DMS_split,69
2,1000,0.6103896103896104,9878.245076160734,10008.20514616412,8514.725111162426,0.5,0.3506493506493506,107.14814814814817,0.2727272727272727,115.52380952380952,0.3766233766233766,157.20689655172413,1.0,1.0,25,25,8629.244895182494,114.06896551724138,1000,,-1,random,0.05,12,MS_split,77
1,43,0.6233766233766234,8474.234665890146,8474.234665890146,8474.234665890146,0.0,1.0,110.05194805194805,0.0,,0.0,,1.0,1.0,0,0,8474.234665890146,,1000,,-1,random,0.05,12,DMS_split,77
2,1000,0.6267605633802817,8466.278538534792,8457.252190404402,7769.765364469597,0.26,0.6197183098591549,105.88636363636364,0.1690140845070422,119.25,0.2112676056338028,158.4,1.0,1.0,13,13,7795.2656737799825,113.93333333333334,1000,,-1,random,0.05,13,MS_split,71
